Club,Elo,From,To
Brentford,1482.37353516,2015-08-07,2015-08-08
Brentford,1481.57324219,2015-08-09,2015-08-15
Brentford,1489.99414062,2015-08-16,2015-08-18
Brentford,1491.38989258,2015-08-19,2015-08-20
Brentford,1489.96203613,2015-08-21,2015-08-22
Brentford,1484.62109375,2015-08-23,2015-08-26
Brentford,1486.37158203,2015-08-27,2015-08-27
Brentford,1481.45532227,2015-08-28,2015-08-29
Brentford,1465.44665527,2015-08-30,2015-09-12
Brentford,1465.74462891,2015-09-13,2015-09-15
Brentford,1452.23571777,2015-09-16,2015-09-16
Brentford,1449.16296387,2015-09-17,2015-09-17
Brentford,1450.2142334,2015-09-18,2015-09-19
Brentford,1454.7376709,2015-09-20,2015-09-26
Brentford,1444.84765625,2015-09-27,2015-09-29
Brentford,1425.59130859,2015-09-30,2015-09-30
Brentford,1430.26916504,2015-10-01,2015-10-01
Brentford,1428.74645996,2015-10-02,2015-10-03
Brentford,1421.82324219,2015-10-04,2015-10-17
Brentford,1427.07531738,2015-10-18,2015-10-20
Brentford,1432.36193848,2015-10-21,2015-10-21
Brentford,1449.99365234,2015-10-22,2015-10-22
Brentford,1444.93640137,2015-10-23,2015-10-24
Brentford,1458.11706543,2015-10-25,2015-10-30
Brentford,1466.01306152,2015-10-31,2015-11-03
Brentford,1463.06262207,2015-11-04,2015-11-04
Brentford,1462.59729004,2015-11-05,2015-11-05
Brentford,1465.7635498,2015-11-06,2015-11-07
Brentford,1467.49633789,2015-11-08,2015-11-21
Brentford,1473.20568848,2015-11-22,2015-11-24
Brentford,1476.16625977,2015-11-25,2015-11-25
Brentford,1472.47338867,2015-11-26,2015-11-26
Brentford,1474.5736084,2015-11-27,2015-11-30
Brentford,1473.13293457,2015-12-01,2015-12-05
Brentford,1479.12268066,2015-12-06,2015-12-08
Brentford,1479.2845459,2015-12-09,2015-12-09
Brentford,1486.08776855,2015-12-10,2015-12-10
Brentford,1486.92626953,2015-12-11,2015-12-12
Brentford,1486.47143555,2015-12-13,2015-12-15
Brentford,1479.5357666,2015-12-16,2015-12-19
Brentford,1486.69873047,2015-12-20,2015-12-26
Brentford,1485.85668945,2015-12-27,2015-12-28
Brentford,1493.86608887,2015-12-29,2016-01-02
Brentford,1486.52111816,2016-01-03,2016-01-12
Brentford,1480.27697754,2016-01-13,2016-01-15
Brentford,1469.77905273,2016-01-16,2016-01-23
Brentford,1481.79138184,2016-01-24,2016-01-26
Brentford,1479.06274414,2016-01-27,2016-02-05
Brentford,1467.67333984,2016-02-06,2016-02-13
Brentford,1456.5604248,2016-02-14,2016-02-16
Brentford,1455.9609375,2016-02-17,2016-02-18
Brentford,1455.19812012,2016-02-19,2016-02-20
Brentford,1444.58459473,2016-02-21,2016-02-23
Brentford,1455.53027344,2016-02-24,2016-02-24
Brentford,1459.10766602,2016-02-25,2016-02-25
Brentford,1468.2401123,2016-02-26,2016-02-27
Brentford,1458.67602539,2016-02-28,2016-03-05
Brentford,1446.82531738,2016-03-06,2016-03-09
Brentford,1444.26855469,2016-03-10,2016-03-10
Brentford,1440.03967285,2016-03-11,2016-03-12
Brentford,1431.05493164,2016-03-13,2016-03-15
Brentford,1431.13647461,2016-03-16,2016-03-16
Brentford,1430.99572754,2016-03-17,2016-03-17
Brentford,1429.63879395,2016-03-18,2016-03-19
Brentford,1421.2388916,2016-03-20,2016-04-02
Brentford,1438.09436035,2016-04-03,2016-04-05
Brentford,1444.13000488,2016-04-06,2016-04-06
Brentford,1445.7454834,2016-04-07,2016-04-07
Brentford,1447.08496094,2016-04-08,2016-04-09
Brentford,1462.08947754,2016-04-10,2016-04-12
Brentford,1464.66723633,2016-04-13,2016-04-14
Brentford,1468.29846191,2016-04-15,2016-04-16
Brentford,1465.30310059,2016-04-17,2016-04-19
Brentford,1473.13342285,2016-04-20,2016-04-23
Brentford,1484.52648926,2016-04-24,2016-04-26
Brentford,1478.02038574,2016-04-27,2016-04-28
Brentford,1476.6373291,2016-04-29,2016-04-30
Brentford,1485.97644043,2016-05-01,2016-05-04
Brentford,1484.67468262,2016-05-05,2016-05-05
Brentford,1492.06787109,2016-05-06,2016-05-07
Brentford,1508.03100586,2016-05-08,2016-05-18
Brentford,1504.36047363,2016-05-19,2016-07-28
Brentford,1503.21801758,2016-07-29,2016-08-04
Brentford,1504.6595459,2016-08-05,2016-08-06
Brentford,1496.20654297,2016-08-07,2016-08-13
Brentford,1505.81091309,2016-08-14,2016-08-16
Brentford,1512.11474609,2016-08-17,2016-08-18
Brentford,1512.11096191,2016-08-19,2016-08-20
