Club,Elo,From,To
Cardiff,1461.95703125,2015-08-07,2015-08-08
Cardiff,1459.53710938,2015-08-09,2015-08-15
Cardiff,1462.73681641,2015-08-16,2015-08-18
Cardiff,1466.35803223,2015-08-19,2015-08-20
Cardiff,1464.93017578,2015-08-21,2015-08-22
Cardiff,1476.17041016,2015-08-23,2015-08-26
Cardiff,1477.92089844,2015-08-27,2015-08-27
Cardiff,1473.00463867,2015-08-28,2015-08-29
Cardiff,1481.20727539,2015-08-30,2015-09-12
Cardiff,1488.43945312,2015-09-13,2015-09-15
Cardiff,1470.80517578,2015-09-16,2015-09-16
Cardiff,1467.73242188,2015-09-17,2015-09-17
Cardiff,1468.78356934,2015-09-18,2015-09-19
Cardiff,1458.41357422,2015-09-20,2015-09-26
Cardiff,1464.49072266,2015-09-27,2015-09-29
Cardiff,1457.99316406,2015-09-30,2015-09-30
Cardiff,1462.67114258,2015-10-01,2015-10-01
Cardiff,1461.14831543,2015-10-02,2015-10-03
Cardiff,1462.39489746,2015-10-04,2015-10-17
Cardiff,1459.99865723,2015-10-18,2015-10-20
Cardiff,1474.50817871,2015-10-21,2015-10-21
Cardiff,1477.03942871,2015-10-22,2015-10-22
Cardiff,1471.9822998,2015-10-23,2015-10-26
Cardiff,1467.28063965,2015-10-27,2015-10-31
Cardiff,1468.38903809,2015-11-01,2015-11-03
Cardiff,1465.3034668,2015-11-04,2015-11-04
Cardiff,1464.83813477,2015-11-05,2015-11-05
Cardiff,1468.0045166,2015-11-06,2015-11-07
Cardiff,1477.39257812,2015-11-08,2015-11-21
Cardiff,1469.87109375,2015-11-22,2015-11-24
Cardiff,1472.83154297,2015-11-25,2015-11-25
Cardiff,1469.13867188,2015-11-26,2015-11-26
Cardiff,1471.23901367,2015-11-27,2015-11-28
Cardiff,1473.01025391,2015-11-29,2015-12-05
Cardiff,1479.94360352,2015-12-06,2015-12-08
Cardiff,1480.10546875,2015-12-09,2015-12-09
Cardiff,1486.90869141,2015-12-10,2015-12-10
Cardiff,1487.74719238,2015-12-11,2015-12-12
Cardiff,1486.15161133,2015-12-13,2015-12-15
Cardiff,1493.08728027,2015-12-16,2015-12-18
Cardiff,1485.31506348,2015-12-19,2015-12-26
Cardiff,1474.94604492,2015-12-27,2015-12-29
Cardiff,1472.79907227,2015-12-30,2016-01-02
Cardiff,1479.79125977,2016-01-03,2016-01-13
Cardiff,1473.45385742,2016-01-14,2016-01-16
Cardiff,1487.63525391,2016-01-17,2016-01-23
Cardiff,1483.02624512,2016-01-24,2016-01-30
Cardiff,1491.06140137,2016-01-31,2016-02-06
Cardiff,1486.05395508,2016-02-07,2016-02-13
Cardiff,1484.02990723,2016-02-14,2016-02-16
Cardiff,1483.43029785,2016-02-17,2016-02-18
Cardiff,1482.66748047,2016-02-19,2016-02-20
Cardiff,1495.5682373,2016-02-21,2016-02-23
Cardiff,1487.4699707,2016-02-24,2016-02-24
Cardiff,1491.04736328,2016-02-25,2016-02-25
Cardiff,1500.1796875,2016-02-26,2016-02-27
Cardiff,1506.1541748,2016-02-28,2016-03-05
Cardiff,1515.4296875,2016-03-06,2016-03-08
Cardiff,1499.11682129,2016-03-09,2016-03-09
Cardiff,1496.56005859,2016-03-10,2016-03-10
Cardiff,1492.33105469,2016-03-11,2016-03-12
Cardiff,1499.25402832,2016-03-13,2016-03-15
Cardiff,1499.33557129,2016-03-16,2016-03-16
Cardiff,1499.19470215,2016-03-17,2016-03-17
Cardiff,1497.83776855,2016-03-18,2016-03-19
Cardiff,1497.28076172,2016-03-20,2016-04-02
Cardiff,1504.71362305,2016-04-03,2016-04-05
Cardiff,1508.93310547,2016-04-06,2016-04-06
Cardiff,1510.54858398,2016-04-07,2016-04-07
Cardiff,1511.88793945,2016-04-08,2016-04-09
Cardiff,1503.22802734,2016-04-10,2016-04-12
Cardiff,1505.80578613,2016-04-13,2016-04-14
Cardiff,1509.43701172,2016-04-15,2016-04-16
Cardiff,1507.92858887,2016-04-17,2016-04-19
Cardiff,1500.0982666,2016-04-20,2016-04-23
Cardiff,1503.27185059,2016-04-24,2016-04-26
Cardiff,1503.60546875,2016-04-27,2016-04-28
Cardiff,1502.22241211,2016-04-29,2016-04-30
Cardiff,1491.07202148,2016-05-01,2016-05-04
Cardiff,1489.77026367,2016-05-05,2016-05-05
Cardiff,1497.16345215,2016-05-06,2016-05-07
Cardiff,1495.14221191,2016-05-08,2016-05-18
Cardiff,1491.47180176,2016-05-19,2016-07-28
Cardiff,1490.32922363,2016-07-29,2016-08-04
Cardiff,1491.77087402,2016-08-05,2016-08-06
Cardiff,1492.86682129,2016-08-07,2016-08-14
Cardiff,1479.89978027,2016-08-15,2016-08-16
Cardiff,1481.1862793,2016-08-17,2016-08-17
Cardiff,1486.97839355,2016-08-18,2016-08-18
Cardiff,1486.97460938,2016-08-19,2016-08-20
Cardiff,1487.63537598,2016-08-21,2016-08-24
Cardiff,1487.65112305,2016-08-25,2016-08-25
Cardiff,1480.56408691,2016-08-26,2016-08-27
Cardiff,1469.01721191,2016-08-28,2016-09-10
Cardiff,1464.74230957,2016-09-11,2016-09-13
Cardiff,1452.40612793,2016-09-14,2016-09-14
Cardiff,1454.4699707,2016-09-15,2016-09-15
Cardiff,1452.80212402,2016-09-16,2016-09-17
Cardiff,1439.21960449,2016-09-18,2016-09-24
Cardiff,1447.25158691,2016-09-25,2016-09-27
Cardiff,1439.68896484,2016-09-28,2016-09-28
Cardiff,1438.91040039,2016-09-29,2016-09-29
Cardiff,1438.33776855,2016-09-30,2016-10-01
Cardiff,1426.86120605,2016-10-02,2016-10-14
Cardiff,1434.54443359,2016-10-15,2016-10-18
Cardiff,1435.92944336,2016-10-19,2016-10-19
Cardiff,1436.09094238,2016-10-20,2016-10-20
Cardiff,1434.78845215,2016-10-21,2016-10-22
Cardiff,1444.28198242,2016-10-23,2016-10-29
Cardiff,1432.70007324,2016-10-30,2016-11-01
Cardiff,1438.0592041,2016-11-02,2016-11-02
Cardiff,1433.69921875,2016-11-03,2016-11-03
Cardiff,1431.87768555,2016-11-04,2016-11-05
Cardiff,1429.55273438,2016-11-06,2016-11-19
Cardiff,1436.7557373,2016-11-20,2016-11-22
Cardiff,1435.54846191,2016-11-23,2016-11-23
Cardiff,1434.45361328,2016-11-24,2016-11-24
Cardiff,1433.24475098,2016-11-25,2016-11-26
Cardiff,1425.92175293,2016-11-27,2016-12-03
Cardiff,1429.14697266,2016-12-04,2016-12-06
Cardiff,1429.60571289,2016-12-07,2016-12-07
Cardiff,1426.93054199,2016-12-08,2016-12-08
Cardiff,1427.20263672,2016-12-09,2016-12-10
Cardiff,1430.08947754,2016-12-11,2016-12-13
Cardiff,1436.77429199,2016-12-14,2016-12-17
Cardiff,1426.11022949,2016-12-18,2016-12-26
Cardiff,1429.02514648,2016-12-27,2017-01-02
Cardiff,1437.51196289,2017-01-03,2017-01-14
Cardiff,1446.05603027,2017-01-15,2017-01-21
Cardiff,1450.33154297,2017-01-22,2017-01-24
Cardiff,1447.25097656,2017-01-25,2017-01-28
Cardiff,1441.44641113,2017-01-29,2017-01-31
Cardiff,1451.90612793,2017-02-01,2017-02-04
Cardiff,1444.29919434,2017-02-05,2017-02-11
Cardiff,1460.99328613,2017-02-12,2017-02-14
Cardiff,1472.61645508,2017-02-15,2017-02-15
Cardiff,1469.7791748,2017-02-16,2017-02-16
Cardiff,1470.88684082,2017-02-17,2017-02-18
Cardiff,1477.57006836,2017-02-19,2017-02-21
Cardiff,1479.89245605,2017-02-22,2017-02-22
Cardiff,1480.62561035,2017-02-23,2017-02-23
Cardiff,1475.55236816,2017-02-24,2017-02-25
Cardiff,1474.3182373,2017-02-26,2017-03-04
Cardiff,1467.14770508,2017-03-05,2017-03-07
Cardiff,1466.94165039,2017-03-08,2017-03-09
Cardiff,1467.45227051,2017-03-10,2017-03-11
Cardiff,1463.52502441,2017-03-12,2017-03-14
Cardiff,1469.68041992,2017-03-15,2017-03-15
Cardiff,1464.59375,2017-03-16,2017-03-16
Cardiff,1466.08544922,2017-03-17,2017-03-18
Cardiff,1474.67370605,2017-03-19,2017-04-01
Cardiff,1465.0970459,2017-04-02,2017-04-04
Cardiff,1465.86364746,2017-04-05,2017-04-08
Cardiff,1472.40710449,2017-04-09,2017-04-12
Cardiff,1471.99108887,2017-04-13,2017-04-13
Cardiff,1472.45397949,2017-04-14,2017-04-14
Cardiff,1467.58410645,2017-04-15,2017-04-17
Cardiff,1472.36120605,2017-04-18,2017-04-18
Cardiff,1471.82641602,2017-04-19,2017-04-20
Cardiff,1473.29516602,2017-04-21,2017-04-22
Cardiff,1472.21252441,2017-04-23,2017-04-28
Cardiff,1462.57312012,2017-04-29,2017-05-04
Cardiff,1464.32861328,2017-05-05,2017-05-07
Cardiff,1482.34460449,2017-05-08,2017-05-11
Cardiff,1482.44506836,2017-05-12,2017-05-24
Cardiff,1485.19030762,2017-05-25,2017-07-27
Cardiff,1485.20361328,2017-07-28,2017-08-03
Cardiff,1485.52563477,2017-08-04,2017-08-05
Cardiff,1493.30041504,2017-08-06,2017-08-12
Cardiff,1503.28039551,2017-08-13,2017-08-15
Cardiff,1510.5567627,2017-08-16,2017-08-17
Cardiff,1511.72619629,2017-08-18,2017-08-19
Cardiff,1521.1673584,2017-08-20,2017-08-23
Cardiff,1522.72607422,2017-08-24,2017-08-24
Cardiff,1523.02075195,2017-08-25,2017-08-26
Cardiff,1527.74389648,2017-08-27,2017-09-09
Cardiff,1530.49572754,2017-09-10,2017-09-12
Cardiff,1518.9609375,2017-09-13,2017-09-13
Cardiff,1522.69287109,2017-09-14,2017-09-14
Cardiff,1519.8560791,2017-09-15,2017-09-16
Cardiff,1518.47021484,2017-09-17,2017-09-23
Cardiff,1528.32287598,2017-09-24,2017-09-26
Cardiff,1540.65100098,2017-09-27,2017-09-27
Cardiff,1548.44543457,2017-09-28,2017-09-28
Cardiff,1546.84204102,2017-09-29,2017-09-30
Cardiff,1543.75305176,2017-10-01,2017-10-13
Cardiff,1533.45654297,2017-10-14,2017-10-17
Cardiff,1538.77832031,2017-10-18,2017-10-18
Cardiff,1539.19750977,2017-10-19,2017-10-19
Cardiff,1536.75756836,2017-10-20,2017-10-21
Cardiff,1547.40124512,2017-10-22,2017-10-28
Cardiff,1541.92382812,2017-10-29,2017-10-31
Cardiff,1545.91430664,2017-11-01,2017-11-01
Cardiff,1554.10620117,2017-11-02,2017-11-02
Cardiff,1548.77319336,2017-11-03,2017-11-04
Cardiff,1541.22827148,2017-11-05,2017-11-18
Cardiff,1549.61425781,2017-11-19,2017-11-21
Cardiff,1559.2097168,2017-11-22,2017-11-22
Cardiff,1556.40209961,2017-11-23,2017-11-23
Cardiff,1545.85168457,2017-11-24,2017-11-26
Cardiff,1555.9354248,2017-11-27,2017-12-01
Cardiff,1563.04760742,2017-12-02,2017-12-05
Cardiff,1563.07727051,2017-12-06,2017-12-06
Cardiff,1562.33532715,2017-12-07,2017-12-07
Cardiff,1566.21228027,2017-12-08,2017-12-11
Cardiff,1566.61657715,2017-12-12,2017-12-16
Cardiff,1571.66455078,2017-12-17,2017-12-23
Cardiff,1554.32775879,2017-12-24,2017-12-26
Cardiff,1539.64086914,2017-12-27,2017-12-29
Cardiff,1528.63378906,2017-12-30,2018-01-01
Cardiff,1519.30773926,2018-01-02,2018-01-13
Cardiff,1529.99975586,2018-01-14,2018-01-20
Cardiff,1530.03540039,2018-01-21,2018-02-03
Cardiff,1545.31018066,2018-02-04,2018-02-09
