Club,Elo,From,To
Fulham,1429.96484375,2015-08-07,2015-08-08
Fulham,1432.38476562,2015-08-09,2015-08-15
Fulham,1423.12634277,2015-08-16,2015-08-18
Fulham,1424.52209473,2015-08-19,2015-08-19
Fulham,1420.87536621,2015-08-20,2015-08-20
Fulham,1419.44750977,2015-08-21,2015-08-22
Fulham,1417.85144043,2015-08-23,2015-08-26
Fulham,1419.60205078,2015-08-27,2015-08-27
Fulham,1414.68566895,2015-08-28,2015-08-29
Fulham,1425.35412598,2015-08-30,2015-09-13
Fulham,1433.43652344,2015-09-14,2015-09-15
Fulham,1426.66784668,2015-09-16,2015-09-16
Fulham,1423.59509277,2015-09-17,2015-09-17
Fulham,1424.6463623,2015-09-18,2015-09-19
Fulham,1417.64123535,2015-09-20,2015-09-25
Fulham,1436.41943359,2015-09-26,2015-09-29
Fulham,1416.23010254,2015-09-30,2015-09-30
Fulham,1420.90808105,2015-10-01,2015-10-01
Fulham,1419.38525391,2015-10-02,2015-10-04
Fulham,1420.34887695,2015-10-05,2015-10-17
Fulham,1424.90893555,2015-10-18,2015-10-20
Fulham,1430.19543457,2015-10-21,2015-10-21
Fulham,1430.66577148,2015-10-22,2015-10-22
Fulham,1425.60852051,2015-10-23,2015-10-24
Fulham,1436.50170898,2015-10-25,2015-10-31
Fulham,1447.78808594,2015-11-01,2015-11-03
Fulham,1447.7109375,2015-11-04,2015-11-04
Fulham,1447.24560547,2015-11-05,2015-11-05
Fulham,1450.41186523,2015-11-06,2015-11-07
Fulham,1435.69006348,2015-11-08,2015-11-21
Fulham,1434.44763184,2015-11-22,2015-11-24
Fulham,1437.40808105,2015-11-25,2015-11-25
Fulham,1433.71520996,2015-11-26,2015-11-26
Fulham,1435.81542969,2015-11-27,2015-11-28
Fulham,1433.0625,2015-11-29,2015-12-05
Fulham,1421.19604492,2015-12-06,2015-12-08
Fulham,1421.35791016,2015-12-09,2015-12-09
Fulham,1428.16113281,2015-12-10,2015-12-10
Fulham,1428.99963379,2015-12-11,2015-12-12
Fulham,1429.45446777,2015-12-13,2015-12-15
Fulham,1422.48376465,2015-12-16,2015-12-19
Fulham,1422.53100586,2015-12-20,2015-12-26
Fulham,1417.8626709,2015-12-27,2015-12-29
Fulham,1427.75061035,2015-12-30,2016-01-02
Fulham,1419.96264648,2016-01-03,2016-01-12
Fulham,1415.15563965,2016-01-13,2016-01-16
