Club,Elo,From,To
Huddersfield,1414.6829834,2015-08-07,2015-08-08
Huddersfield,1409.68884277,2015-08-09,2015-08-15
Huddersfield,1410.71606445,2015-08-16,2015-08-18
Huddersfield,1411.73669434,2015-08-19,2015-08-20
Huddersfield,1410.30871582,2015-08-21,2015-08-22
Huddersfield,1411.90478516,2015-08-23,2015-08-26
Huddersfield,1413.65539551,2015-08-27,2015-08-27
Huddersfield,1408.73913574,2015-08-28,2015-08-29
Huddersfield,1402.80407715,2015-08-30,2015-09-12
Huddersfield,1395.57189941,2015-09-13,2015-09-15
Huddersfield,1399.55297852,2015-09-16,2015-09-16
Huddersfield,1396.48034668,2015-09-17,2015-09-17
Huddersfield,1397.53149414,2015-09-18,2015-09-19
Huddersfield,1410.18701172,2015-09-20,2015-09-24
Huddersfield,1409.58398438,2015-09-25,2015-09-29
Huddersfield,1403.08654785,2015-09-30,2015-09-30
Huddersfield,1407.7644043,2015-10-01,2015-10-01
Huddersfield,1406.24169922,2015-10-02,2015-10-03
Huddersfield,1397.5871582,2015-10-04,2015-10-17
Huddersfield,1400.91101074,2015-10-18,2015-10-20
Huddersfield,1414.32263184,2015-10-21,2015-10-21
Huddersfield,1416.85388184,2015-10-22,2015-10-22
Huddersfield,1411.79675293,2015-10-23,2015-10-24
Huddersfield,1405.74609375,2015-10-25,2015-10-31
Huddersfield,1402.03759766,2015-11-01,2015-11-03
Huddersfield,1410.54174805,2015-11-04,2015-11-04
Huddersfield,1410.07641602,2015-11-05,2015-11-05
Huddersfield,1413.24279785,2015-11-06,2015-11-07
Huddersfield,1397.31176758,2015-11-08,2015-11-21
Huddersfield,1389.39831543,2015-11-22,2015-11-24
Huddersfield,1392.35888672,2015-11-25,2015-11-25
Huddersfield,1388.66601562,2015-11-26,2015-11-26
Huddersfield,1390.76623535,2015-11-27,2015-11-28
Huddersfield,1383.83666992,2015-11-29,2015-12-05
Huddersfield,1399.89477539,2015-12-06,2015-12-08
Huddersfield,1400.05664062,2015-12-09,2015-12-09
Huddersfield,1406.85986328,2015-12-10,2015-12-10
Huddersfield,1407.69848633,2015-12-11,2015-12-12
Huddersfield,1396.87963867,2015-12-13,2015-12-15
Huddersfield,1405.48620605,2015-12-16,2015-12-19
Huddersfield,1398.32324219,2015-12-20,2015-12-26
Huddersfield,1408.48779297,2015-12-27,2015-12-28
Huddersfield,1412.34692383,2015-12-29,2016-01-02
Huddersfield,1424.28930664,2016-01-03,2016-01-12
Huddersfield,1436.19726562,2016-01-13,2016-01-16
Huddersfield,1434.03344727,2016-01-17,2016-01-23
Huddersfield,1428.47094727,2016-01-24,2016-01-30
Huddersfield,1420.43579102,2016-01-31,2016-02-06
Huddersfield,1413.77636719,2016-02-07,2016-02-13
Huddersfield,1429.77612305,2016-02-14,2016-02-16
Huddersfield,1429.17651367,2016-02-17,2016-02-18
Huddersfield,1428.41369629,2016-02-19,2016-02-20
Huddersfield,1436.06433105,2016-02-21,2016-02-23
Huddersfield,1434.24133301,2016-02-24,2016-02-24
Huddersfield,1437.81872559,2016-02-25,2016-02-25
Huddersfield,1446.9510498,2016-02-26,2016-02-27
Huddersfield,1439.08898926,2016-02-28,2016-03-05
Huddersfield,1432.95288086,2016-03-06,2016-03-08
Huddersfield,1442.8067627,2016-03-09,2016-03-09
Huddersfield,1440.25,2016-03-10,2016-03-10
Huddersfield,1436.02099609,2016-03-11,2016-03-12
Huddersfield,1428.76635742,2016-03-13,2016-03-15
Huddersfield,1428.84790039,2016-03-16,2016-03-16
Huddersfield,1428.70715332,2016-03-17,2016-03-17
Huddersfield,1427.35021973,2016-03-18,2016-03-19
Huddersfield,1445.35717773,2016-03-20,2016-04-02
Huddersfield,1438.1072998,2016-04-03,2016-04-05
Huddersfield,1431.5369873,2016-04-06,2016-04-06
Huddersfield,1433.15246582,2016-04-07,2016-04-07
Huddersfield,1434.49194336,2016-04-08,2016-04-09
Huddersfield,1436.6706543,2016-04-10,2016-04-12
