Club,Elo,From,To
Hull,1564.77111816,2015-08-07,2015-08-08
Hull,1569.76525879,2015-08-09,2015-08-16
Hull,1569.55432129,2015-08-17,2015-08-18
Hull,1570.95007324,2015-08-19,2015-08-19
Hull,1574.59692383,2015-08-20,2015-08-20
Hull,1573.16894531,2015-08-21,2015-08-22
Hull,1562.87329102,2015-08-23,2015-08-26
Hull,1564.6237793,2015-08-27,2015-08-27
Hull,1559.70751953,2015-08-28,2015-08-29
Hull,1563.93493652,2015-08-30,2015-09-12
Hull,1553.81298828,2015-09-13,2015-09-15
Hull,1557.90991211,2015-09-16,2015-09-16
Hull,1554.8371582,2015-09-17,2015-09-17
Hull,1555.88830566,2015-09-18,2015-09-19
Hull,1553.52478027,2015-09-20,2015-09-26
Hull,1550.12780762,2015-09-27,2015-09-29
Hull,1543.63037109,2015-09-30,2015-09-30
Hull,1548.30822754,2015-10-01,2015-10-01
Hull,1546.78552246,2015-10-02,2015-10-03
Hull,1552.89001465,2015-10-04,2015-10-17
Hull,1550.8494873,2015-10-18,2015-10-20
Hull,1564.92980957,2015-10-21,2015-10-21
Hull,1567.46118164,2015-10-22,2015-10-22
Hull,1562.40393066,2015-10-23,2015-10-24
Hull,1569.54418945,2015-10-25,2015-10-31
Hull,1574.89831543,2015-11-01,2015-11-03
Hull,1589.98156738,2015-11-04,2015-11-04
Hull,1589.51623535,2015-11-05,2015-11-05
Hull,1592.68261719,2015-11-06,2015-11-07
Hull,1603.86035156,2015-11-08,2015-11-21
Hull,1598.50378418,2015-11-22,2015-11-24
Hull,1601.46435547,2015-11-25,2015-11-25
Hull,1597.77148438,2015-11-26,2015-11-26
Hull,1599.8717041,2015-11-27,2015-11-27
Hull,1585.04577637,2015-11-28,2015-12-05
Hull,1573.37561035,2015-12-06,2015-12-08
Hull,1573.53747559,2015-12-09,2015-12-09
Hull,1580.34057617,2015-12-10,2015-12-10
Hull,1581.17919922,2015-12-11,2015-12-12
Hull,1584.12512207,2015-12-13,2015-12-16
Hull,1587.85827637,2015-12-17,2015-12-19
Hull,1569.56311035,2015-12-20,2015-12-26
Hull,1581.52282715,2015-12-27,2015-12-28
Hull,1569.95471191,2015-12-29,2016-01-01
Hull,1577.59240723,2016-01-02,2016-01-13
Hull,1583.9296875,2016-01-14,2016-01-16
Hull,1589.81335449,2016-01-17,2016-01-23
Hull,1594.9342041,2016-01-24,2016-02-06
Hull,1587.83227539,2016-02-07,2016-02-13
Hull,1597.08862305,2016-02-14,2016-02-16
Hull,1592.57983398,2016-02-17,2016-02-18
