Club,Elo,From,To
Leeds,1418.1496582,2015-08-07,2015-08-08
Leeds,1420.92626953,2015-08-09,2015-08-16
Leeds,1421.72436523,2015-08-17,2015-08-18
Leeds,1423.12011719,2015-08-19,2015-08-19
Leeds,1430.48352051,2015-08-20,2015-08-20
Leeds,1429.05566406,2015-08-21,2015-08-22
Leeds,1428.11047363,2015-08-23,2015-08-26
Leeds,1429.86096191,2015-08-27,2015-08-27
Leeds,1424.94470215,2015-08-28,2015-08-29
Leeds,1436.37414551,2015-08-30,2015-09-12
Leeds,1436.07617188,2015-09-13,2015-09-15
Leeds,1421.7454834,2015-09-16,2015-09-16
Leeds,1418.67285156,2015-09-17,2015-09-17
Leeds,1419.72399902,2015-09-18,2015-09-19
Leeds,1427.14929199,2015-09-20,2015-09-27
Leeds,1420.11303711,2015-09-28,2015-09-29
Leeds,1413.61547852,2015-09-30,2015-09-30
Leeds,1418.29345703,2015-10-01,2015-10-01
Leeds,1416.77062988,2015-10-02,2015-10-03
Leeds,1405.05322266,2015-10-04,2015-10-17
Leeds,1397.25378418,2015-10-18,2015-10-20
Leeds,1402.5402832,2015-10-21,2015-10-21
Leeds,1407.13269043,2015-10-22,2015-10-22
Leeds,1402.07543945,2015-10-23,2015-10-24
Leeds,1402.82116699,2015-10-25,2015-10-29
Leeds,1392.06713867,2015-10-30,2015-11-03
Leeds,1407.28552246,2015-11-04,2015-11-04
Leeds,1406.82019043,2015-11-05,2015-11-05
Leeds,1409.98657227,2015-11-06,2015-11-07
Leeds,1425.91748047,2015-11-08,2015-11-21
Leeds,1414.42956543,2015-11-22,2015-11-24
Leeds,1417.39001465,2015-11-25,2015-11-25
Leeds,1413.69714355,2015-11-26,2015-11-26
Leeds,1415.79736328,2015-11-27,2015-11-28
Leeds,1410.44421387,2015-11-29,2015-12-05
Leeds,1422.11437988,2015-12-06,2015-12-08
Leeds,1422.27624512,2015-12-09,2015-12-09
Leeds,1429.07946777,2015-12-10,2015-12-10
Leeds,1429.91796875,2015-12-11,2015-12-12
Leeds,1429.93249512,2015-12-13,2015-12-17
Leeds,1440.73974609,2015-12-18,2015-12-20
Leeds,1447.29150391,2015-12-21,2015-12-27
Leeds,1449.1048584,2015-12-28,2015-12-29
Leeds,1451.47436523,2015-12-30,2016-01-02
Leeds,1447.56982422,2016-01-03,2016-01-12
Leeds,1442.67687988,2016-01-13,2016-01-16
Leeds,1435.0090332,2016-01-17,2016-01-23
Leeds,1439.67980957,2016-01-24,2016-01-26
Leeds,1442.40856934,2016-01-27,2016-02-06
Leeds,1433.76306152,2016-02-07,2016-02-15
Leeds,1436.65637207,2016-02-16,2016-02-16
Leeds,1436.0567627,2016-02-17,2016-02-18
Leeds,1435.29394531,2016-02-19,2016-02-23
Leeds,1432.54418945,2016-02-24,2016-02-24
Leeds,1436.12158203,2016-02-25,2016-02-25
Leeds,1445.25390625,2016-02-26,2016-02-29
Leeds,1434.87573242,2016-03-01,2016-03-05
Leeds,1440.08483887,2016-03-06,2016-03-08
Leeds,1456.39770508,2016-03-09,2016-03-09
Leeds,1453.84106445,2016-03-10,2016-03-10
Leeds,1449.61206055,2016-03-11,2016-03-12
Leeds,1460.39318848,2016-03-13,2016-03-15
Leeds,1460.47473145,2016-03-16,2016-03-16
Leeds,1460.33398438,2016-03-17,2016-03-17
Leeds,1458.97705078,2016-03-18,2016-03-19
Leeds,1440.9699707,2016-03-20,2016-04-02
Leeds,1433.10375977,2016-04-03,2016-04-05
Leeds,1433.49450684,2016-04-06,2016-04-06
Leeds,1435.10998535,2016-04-07,2016-04-07
Leeds,1436.44946289,2016-04-08,2016-04-09
Leeds,1433.23937988,2016-04-10,2016-04-12
Leeds,1446.7199707,2016-04-13,2016-04-14
Leeds,1450.35119629,2016-04-15,2016-04-16
Leeds,1456.65234375,2016-04-17,2016-04-19
Leeds,1463.88525391,2016-04-20,2016-04-23
Leeds,1468.24755859,2016-04-24,2016-04-26
Leeds,1468.58117676,2016-04-27,2016-04-28
Leeds,1467.19812012,2016-04-29,2016-04-30
Leeds,1455.6003418,2016-05-01,2016-05-04
Leeds,1454.29858398,2016-05-05,2016-05-05
Leeds,1461.69177246,2016-05-06,2016-05-07
Leeds,1463.1237793,2016-05-08,2016-05-18
Leeds,1459.45336914,2016-05-19,2016-07-28
Leeds,1458.31079102,2016-07-29,2016-08-04
Leeds,1459.75231934,2016-08-05,2016-08-07
Leeds,1449.92175293,2016-08-08,2016-08-13
Leeds,1440.98010254,2016-08-14,2016-08-16
Leeds,1440.7956543,2016-08-17,2016-08-18
Leeds,1440.79187012,2016-08-19,2016-08-20
Leeds,1457.7232666,2016-08-21,2016-08-24
Leeds,1457.7388916,2016-08-25,2016-08-25
Leeds,1450.65197754,2016-08-26,2016-08-27
Leeds,1440.78686523,2016-08-28,2016-09-10
Leeds,1431.78491211,2016-09-11,2016-09-13
Leeds,1439.49365234,2016-09-14,2016-09-14
Leeds,1441.55761719,2016-09-15,2016-09-15
Leeds,1439.88964844,2016-09-16,2016-09-17
Leeds,1453.47229004,2016-09-18,2016-09-24
Leeds,1461.46264648,2016-09-25,2016-09-27
Leeds,1459.14672852,2016-09-28,2016-09-28
Leeds,1458.36816406,2016-09-29,2016-09-29
Leeds,1457.79553223,2016-09-30,2016-10-01
Leeds,1463.28881836,2016-10-02,2016-10-15
Leeds,1457.484375,2016-10-16,2016-10-18
Leeds,1454.86865234,2016-10-19,2016-10-19
Leeds,1453.98742676,2016-10-20,2016-10-20
Leeds,1452.68481445,2016-10-21,2016-10-22
Leeds,1462.65905762,2016-10-23,2016-10-29
Leeds,1469.96032715,2016-10-30,2016-11-01
Leeds,1475.31945801,2016-11-02,2016-11-02
Leeds,1470.95947266,2016-11-03,2016-11-03
Leeds,1469.13793945,2016-11-04,2016-11-05
Leeds,1480.9720459,2016-11-06,2016-11-20
Leeds,1473.85473633,2016-11-21,2016-11-22
Leeds,1472.64758301,2016-11-23,2016-11-23
Leeds,1471.55273438,2016-11-24,2016-11-24
Leeds,1470.34375,2016-11-25,2016-11-26
Leeds,1476.40026855,2016-11-27,2016-12-03
Leeds,1487.13098145,2016-12-04,2016-12-06
Leeds,1487.58984375,2016-12-07,2016-12-07
Leeds,1484.91467285,2016-12-08,2016-12-08
Leeds,1485.18676758,2016-12-09,2016-12-09
Leeds,1479.09667969,2016-12-10,2016-12-13
Leeds,1487.49035645,2016-12-14,2016-12-17
Leeds,1493.40148926,2016-12-18,2016-12-26
Leeds,1509.85351562,2016-12-27,2016-12-29
Leeds,1511.53173828,2016-12-30,2017-01-02
Leeds,1516.36865234,2017-01-03,2017-01-13
Leeds,1523.24328613,2017-01-14,2017-01-21
Leeds,1514.40441895,2017-01-22,2017-01-25
Leeds,1520.4239502,2017-01-26,2017-02-01
Leeds,1527.64855957,2017-02-02,2017-02-05
Leeds,1520.24157715,2017-02-06,2017-02-11
Leeds,1503.54760742,2017-02-12,2017-02-14
Leeds,1507.57397461,2017-02-15,2017-02-15
Leeds,1504.73669434,2017-02-16,2017-02-16
Leeds,1505.84436035,2017-02-17,2017-02-18
Leeds,1506.26367188,2017-02-19,2017-02-21
Leeds,1508.58605957,2017-02-22,2017-02-22
Leeds,1509.31921387,2017-02-23,2017-02-23
Leeds,1504.24597168,2017-02-24,2017-02-25
Leeds,1511.52807617,2017-02-26,2017-03-03
Leeds,1522.00512695,2017-03-04,2017-03-07
Leeds,1522.57849121,2017-03-08,2017-03-09
Leeds,1523.08911133,2017-03-10,2017-03-11
Leeds,1519.19641113,2017-03-12,2017-03-14
Leeds,1525.35180664,2017-03-15,2017-03-15
Leeds,1520.26501465,2017-03-16,2017-03-16
Leeds,1521.75683594,2017-03-17,2017-03-18
Leeds,1533.29260254,2017-03-19,2017-04-01
Leeds,1525.83764648,2017-04-02,2017-04-04
Leeds,1515.67028809,2017-04-05,2017-04-08
Leeds,1525.86645508,2017-04-09,2017-04-12
Leeds,1525.45043945,2017-04-13,2017-04-13
Leeds,1525.91333008,2017-04-14,2017-04-14
Leeds,1530.57080078,2017-04-15,2017-04-17
Leeds,1518.23046875,2017-04-18,2017-04-18
Leeds,1517.69567871,2017-04-19,2017-04-20
Leeds,1519.16442871,2017-04-21,2017-04-22
Leeds,1509.80639648,2017-04-23,2017-04-29
Leeds,1507.72241211,2017-04-30,2017-05-04
Leeds,1509.47790527,2017-05-05,2017-05-07
Leeds,1507.36437988,2017-05-08,2017-05-11
Leeds,1507.46484375,2017-05-12,2017-05-24
Leeds,1510.21008301,2017-05-25,2017-07-27
Leeds,1510.22338867,2017-07-28,2017-08-03
Leeds,1510.54541016,2017-08-04,2017-08-06
Leeds,1516.53735352,2017-08-07,2017-08-12
Leeds,1513.07055664,2017-08-13,2017-08-15
Leeds,1514.46508789,2017-08-16,2017-08-17
Leeds,1515.63439941,2017-08-18,2017-08-19
Leeds,1531.9732666,2017-08-20,2017-08-23
Leeds,1533.53198242,2017-08-24,2017-08-24
Leeds,1533.82653809,2017-08-25,2017-08-26
Leeds,1544.84155273,2017-08-27,2017-09-09
Leeds,1551.96606445,2017-09-10,2017-09-12
Leeds,1557.51403809,2017-09-13,2017-09-13
Leeds,1561.24597168,2017-09-14,2017-09-14
Leeds,1558.40917969,2017-09-15,2017-09-16
Leeds,1547.48071289,2017-09-17,2017-09-23
