Club,Elo,From,To
Liverpool,1752.82836914,2015-08-07,2015-08-09
Liverpool,1760.78137207,2015-08-10,2015-08-17
Liverpool,1763.85351562,2015-08-18,2015-08-18
Liverpool,1765.24938965,2015-08-19,2015-08-19
Liverpool,1765.24938965,2015-08-20,2015-08-20
Liverpool,1763.82141113,2015-08-21,2015-08-24
Liverpool,1767.08117676,2015-08-25,2015-08-26
Liverpool,1768.83166504,2015-08-27,2015-08-27
Liverpool,1763.91540527,2015-08-28,2015-08-29
Liverpool,1740.8770752,2015-08-30,2015-08-30
Liverpool,1740.8770752,2015-08-31,2015-09-12
Liverpool,1733.25842285,2015-09-13,2015-09-15
Liverpool,1726.48974609,2015-09-16,2015-09-16
Liverpool,1723.41699219,2015-09-17,2015-09-17
Liverpool,1725.16564941,2015-09-18,2015-09-20
Liverpool,1720.77368164,2015-09-21,2015-09-23
Liverpool,1720.77368164,2015-09-24,2015-09-26
Liverpool,1724.10803223,2015-09-27,2015-09-27
Liverpool,1724.10803223,2015-09-28,2015-09-29
Liverpool,1717.61047363,2015-09-30,2015-09-30
Liverpool,1722.28845215,2015-10-01,2015-10-01
Liverpool,1713.61853027,2015-10-02,2015-10-03
Liverpool,1713.61853027,2015-10-04,2015-10-04
Liverpool,1714.9901123,2015-10-05,2015-10-17
Liverpool,1716.9050293,2015-10-18,2015-10-18
Liverpool,1716.9050293,2015-10-19,2015-10-20
Liverpool,1722.19152832,2015-10-21,2015-10-21
Liverpool,1724.72290039,2015-10-22,2015-10-22
Liverpool,1714.19299316,2015-10-23,2015-10-23
Liverpool,1714.19299316,2015-10-24,2015-10-24
Liverpool,1714.19299316,2015-10-25,2015-10-25
Liverpool,1712.43615723,2015-10-26,2015-10-27
Liverpool,1712.43615723,2015-10-28,2015-10-31
Liverpool,1728.6496582,2015-11-01,2015-11-03
Liverpool,1734.71594238,2015-11-04,2015-11-04
Liverpool,1734.25061035,2015-11-05,2015-11-05
Liverpool,1744.23522949,2015-11-06,2015-11-08
Liverpool,1732.70251465,2015-11-09,2015-11-21
Liverpool,1754.9309082,2015-11-22,2015-11-24
Liverpool,1757.89147949,2015-11-25,2015-11-25
Liverpool,1754.1986084,2015-11-26,2015-11-26
Liverpool,1759.50415039,2015-11-27,2015-11-29
Liverpool,1763.8861084,2015-11-30,2015-12-06
Liverpool,1746.82897949,2015-12-07,2015-12-08
