Club,Elo,From,To
Luton,1418.28491211,2019-07-01,2019-07-25
Luton,1418.29626465,2019-07-26,2019-08-01
Luton,1418.3034668,2019-08-02,2019-08-02
Luton,1420.07226562,2019-08-03,2019-08-08
Luton,1420.24328613,2019-08-09,2019-08-10
Luton,1417.44995117,2019-08-11,2019-08-15
Luton,1417.55273438,2019-08-16,2019-08-17
Luton,1412.78979492,2019-08-18,2019-08-20
Luton,1409.12817383,2019-08-21,2019-08-22
Luton,1412.09643555,2019-08-23,2019-08-24
Luton,1426.15307617,2019-08-25,2019-08-29
Luton,1427.34057617,2019-08-30,2019-08-31
Luton,1435.59570312,2019-09-01,2019-09-14
Luton,1429.85620117,2019-09-15,2019-09-17
Luton,1420.36755371,2019-09-18,2019-09-18
Luton,1421.60778809,2019-09-19,2019-09-19
Luton,1421.84228516,2019-09-20,2019-09-21
Luton,1408.23376465,2019-09-22,2019-09-28
Luton,1419.64782715,2019-09-29,2019-10-01
Luton,1414.02026367,2019-10-02,2019-10-02
Luton,1415.54309082,2019-10-03,2019-10-03
Luton,1417.32873535,2019-10-04,2019-10-05
Luton,1412.23132324,2019-10-06,2019-10-19
Luton,1429.93078613,2019-10-20,2019-10-22
Luton,1433.07116699,2019-10-23,2019-10-23
Luton,1433.92248535,2019-10-24,2019-10-24
Luton,1435.86547852,2019-10-25,2019-10-26
Luton,1430.92578125,2019-10-27,2019-11-02
Luton,1423.86315918,2019-11-03,2019-11-05
Luton,1423.16992188,2019-11-06,2019-11-06
Luton,1422.75537109,2019-11-07,2019-11-07
Luton,1423.68310547,2019-11-08,2019-11-09
Luton,1414.13024902,2019-11-10,2019-11-23
Luton,1408.93359375,2019-11-24,2019-11-26
Luton,1415.81445312,2019-11-27,2019-11-27
Luton,1413.11962891,2019-11-28,2019-11-28
Luton,1404.04272461,2019-11-29,2019-11-30
Luton,1395.18945312,2019-12-01,2019-12-07
Luton,1401.93493652,2019-12-08,2019-12-10
Luton,1394.68383789,2019-12-11,2019-12-11
Luton,1394.43005371,2019-12-12,2019-12-12
Luton,1396.5501709,2019-12-13,2019-12-14
Luton,1392.94812012,2019-12-15,2019-12-21
Luton,1387.16308594,2019-12-22,2019-12-26
Luton,1390.74353027,2019-12-27,2019-12-29
Luton,1384.36169434,2019-12-30,2020-01-01
Luton,1378.72290039,2020-01-02,2020-01-11
Luton,1371.26330566,2020-01-12,2020-01-19
Luton,1366.90808105,2020-01-20,2020-01-28
Luton,1377.24194336,2020-01-29,2020-02-01
Luton,1374.10888672,2020-02-02,2020-02-08
Luton,1369.41418457,2020-02-09,2020-02-12
Luton,1379.91955566,2020-02-13,2020-02-15
Luton,1392.42980957,2020-02-16,2020-02-18
Luton,1390.09277344,2020-02-19,2020-02-19
Luton,1387.296875,2020-02-20,2020-02-20
Luton,1393.04260254,2020-02-21,2020-02-22
Luton,1384.66003418,2020-02-23,2020-02-25
Luton,1393.63012695,2020-02-26,2020-02-26
Luton,1395.4777832,2020-02-27,2020-02-27
Luton,1393.88879395,2020-02-28,2020-02-29
Luton,1395.04187012,2020-03-01,2020-03-07
Luton,1398.49194336,2020-03-08,2020-03-10
Luton,1394.86230469,2020-03-11,2020-03-11
Luton,1387.85375977,2020-03-12,2020-03-12
Luton,1392.18408203,2020-03-13,2020-06-20
Luton,1393.77001953,2020-06-21,2020-06-27
Luton,1406.28796387,2020-06-28,2020-06-30
Luton,1412.21203613,2020-07-01,2020-07-04
Luton,1395.10302734,2020-07-05,2020-07-07
Luton,1394.4798584,2020-07-08,2020-07-10
Luton,1410.00146484,2020-07-11,2020-07-14
Luton,1409.56140137,2020-07-15,2020-07-18
Luton,1418.21459961,2020-07-19,2020-07-22
Luton,1427.04919434,2020-07-23,2020-08-05
Luton,1426.05944824,2020-08-06,2020-08-06
Luton,1428.43688965,2020-08-07,2020-08-07
Luton,1429.671875,2020-08-08,2020-08-08
Luton,1429.30810547,2020-08-09,2020-08-10
Luton,1429.97436523,2020-08-11,2020-08-11
Luton,1427.66235352,2020-08-12,2020-08-15
Luton,1420.94494629,2020-08-16,2020-08-16
Luton,1418.01501465,2020-08-17,2020-09-12
Luton,1427.6854248,2020-09-13,2020-09-17
Luton,1428.05566406,2020-09-18,2020-09-19
Luton,1436.89697266,2020-09-20,2020-09-24
Luton,1437.23291016,2020-09-25,2020-09-26
Luton,1434.47192383,2020-09-27,2020-10-01
Luton,1435.28125,2020-10-02,2020-10-03
Luton,1442.08276367,2020-10-04,2020-10-17
Luton,1431.34130859,2020-10-18,2020-10-20
Luton,1427.13415527,2020-10-21,2020-10-21
Luton,1429.66467285,2020-10-22,2020-10-22
Luton,1433.86743164,2020-10-23,2020-10-24
Luton,1443.43359375,2020-10-25,2020-10-27
Luton,1445.71447754,2020-10-28,2020-10-28
Luton,1453.07128906,2020-10-29,2020-10-29
Luton,1450.20776367,2020-10-30,2020-10-31
Luton,1441.4173584,2020-11-01,2020-11-03
Luton,1446.07434082,2020-11-04,2020-11-04
Luton,1450.33312988,2020-11-05,2020-11-05
Luton,1454.18640137,2020-11-06,2020-11-07
Luton,1455.48657227,2020-11-08,2020-11-21
Luton,1456.3560791,2020-11-22,2020-11-24
