Club,Elo,From,To
Man City,1882.47644043,2015-08-07,2015-08-10
Man City,1888.49682617,2015-08-11,2015-08-16
Man City,1900.09289551,2015-08-17,2015-08-18
Man City,1901.48864746,2015-08-19,2015-08-20
Man City,1900.06079102,2015-08-21,2015-08-23
Man City,1906.68322754,2015-08-24,2015-08-26
Man City,1908.43383789,2015-08-27,2015-08-27
Man City,1903.51745605,2015-08-28,2015-08-29
Man City,1905.42053223,2015-08-30,2015-08-30
Man City,1905.42053223,2015-08-31,2015-09-12
Man City,1908.93505859,2015-09-13,2015-09-15
Man City,1891.18908691,2015-09-16,2015-09-16
Man City,1888.11633301,2015-09-17,2015-09-17
Man City,1889.16760254,2015-09-18,2015-09-19
Man City,1874.06396484,2015-09-20,2015-09-23
Man City,1874.06396484,2015-09-24,2015-09-26
Man City,1855.42382812,2015-09-27,2015-09-29
Man City,1848.92626953,2015-09-30,2015-09-30
Man City,1861.44396973,2015-10-01,2015-10-01
Man City,1859.92114258,2015-10-02,2015-10-03
Man City,1863.57104492,2015-10-04,2015-10-17
Man City,1866.83044434,2015-10-18,2015-10-20
Man City,1872.11694336,2015-10-21,2015-10-21
Man City,1880.39172363,2015-10-22,2015-10-22
Man City,1875.33447266,2015-10-23,2015-10-25
Man City,1874.79077148,2015-10-26,2015-10-31
Man City,1876.41149902,2015-11-01,2015-11-03
Man City,1895.4876709,2015-11-04,2015-11-04
Man City,1895.02233887,2015-11-05,2015-11-05
Man City,1898.1887207,2015-11-06,2015-11-07
Man City,1898.1887207,2015-11-08,2015-11-08
Man City,1890.9987793,2015-11-09,2015-11-21
Man City,1868.77050781,2015-11-22,2015-11-24
Man City,1871.7310791,2015-11-25,2015-11-25
Man City,1862.50195312,2015-11-26,2015-11-26
Man City,1864.60217285,2015-11-27,2015-11-28
Man City,1869.61523438,2015-11-29,2015-12-05
Man City,1852.83154297,2015-12-06,2015-12-08
Man City,1860.12561035,2015-12-09,2015-12-09
Man City,1866.92871094,2015-12-10,2015-12-10
Man City,1867.76733398,2015-12-11,2015-12-12
Man City,1870.18493652,2015-12-13,2015-12-21
Man City,1863.22644043,2015-12-22,2015-12-26
Man City,1866.24951172,2015-12-27,2015-12-29
Man City,1863.8536377,2015-12-30,2016-01-02
Man City,1867.96899414,2016-01-03,2016-01-13
Man City,1862.57287598,2016-01-14,2016-01-16
Man City,1868.15393066,2016-01-17,2016-01-23
Man City,1864.54785156,2016-01-24,2016-02-02
Man City,1867.57727051,2016-02-03,2016-02-06
Man City,1850.31604004,2016-02-07,2016-02-14
Man City,1839.91711426,2016-02-15,2016-02-16
Man City,1839.31750488,2016-02-17,2016-02-18
Man City,1838.55480957,2016-02-19,2016-02-21
Man City,1838.55480957,2016-02-22,2016-02-23
Man City,1837.42773438,2016-02-24,2016-02-24
Man City,1852.1751709,2016-02-25,2016-02-25
Man City,1861.30749512,2016-02-26,2016-03-02
Man City,1844.67675781,2016-03-03,2016-03-05
Man City,1847.67041016,2016-03-06,2016-03-09
Man City,1845.11376953,2016-03-10,2016-03-10
Man City,1840.88476562,2016-03-11,2016-03-12
Man City,1835.45556641,2016-03-13,2016-03-15
Man City,1835.79418945,2016-03-16,2016-03-16
Man City,1835.65344238,2016-03-17,2016-03-17
Man City,1834.29650879,2016-03-18,2016-03-20
Man City,1823.08947754,2016-03-21,2016-04-02
Man City,1832.45007324,2016-04-03,2016-04-05
Man City,1832.45007324,2016-04-06,2016-04-06
Man City,1839.16943359,2016-04-07,2016-04-07
Man City,1840.50891113,2016-04-08,2016-04-09
Man City,1843.52380371,2016-04-10,2016-04-12
Man City,1854.26208496,2016-04-13,2016-04-14
Man City,1857.89318848,2016-04-15,2016-04-16
Man City,1872.10375977,2016-04-17,2016-04-17
Man City,1872.10375977,2016-04-18,2016-04-19
Man City,1866.11621094,2016-04-20,2016-04-23
Man City,1872.36376953,2016-04-24,2016-04-26
Man City,1873.75134277,2016-04-27,2016-04-28
Man City,1872.36828613,2016-04-29,2016-05-01
Man City,1857.87426758,2016-05-02,2016-05-04
Man City,1852.45568848,2016-05-05,2016-05-05
Man City,1859.84899902,2016-05-06,2016-05-08
Man City,1857.92993164,2016-05-09,2016-05-15
Man City,1854.70788574,2016-05-16,2016-05-18
Man City,1851.03735352,2016-05-19,2016-07-28
Man City,1849.89489746,2016-07-29,2016-08-04
Man City,1851.33642578,2016-08-05,2016-08-13
Man City,1854.00952148,2016-08-14,2016-08-16
Man City,1859.20910645,2016-08-17,2016-08-18
Man City,1859.20532227,2016-08-19,2016-08-20
Man City,1868.17651367,2016-08-21,2016-08-24
Man City,1868.23999023,2016-08-25,2016-08-25
Man City,1861.15307617,2016-08-26,2016-08-27
Man City,1861.15307617,2016-08-28,2016-08-28
Man City,1865.54589844,2016-08-29,2016-09-10
Man City,1873.62854004,2016-09-11,2016-09-13
Man City,1874.7845459,2016-09-14,2016-09-14
Man City,1884.48522949,2016-09-15,2016-09-15
Man City,1882.81738281,2016-09-16,2016-09-16
Man City,1882.81738281,2016-09-17,2016-09-17
Man City,1886.4420166,2016-09-18,2016-09-20
Man City,1886.4420166,2016-09-21,2016-09-23
Man City,1886.4420166,2016-09-24,2016-09-24
Man City,1892.33032227,2016-09-25,2016-09-27
Man City,1896.79980469,2016-09-28,2016-09-28
Man City,1889.65026855,2016-09-29,2016-09-29
Man City,1889.07763672,2016-09-30,2016-10-02
Man City,1877.44470215,2016-10-03,2016-10-15
Man City,1871.93432617,2016-10-16,2016-10-18
Man City,1873.31933594,2016-10-19,2016-10-19
Man City,1867.56787109,2016-10-20,2016-10-20
Man City,1866.26525879,2016-10-21,2016-10-23
Man City,1862.19799805,2016-10-24,2016-10-29
Man City,1870.89404297,2016-10-30,2016-11-01
Man City,1890.55529785,2016-11-02,2016-11-02
Man City,1886.1953125,2016-11-03,2016-11-03
Man City,1884.37390137,2016-11-04,2016-11-05
Man City,1876.87182617,2016-11-06,2016-11-19
Man City,1880.33886719,2016-11-20,2016-11-22
Man City,1879.1315918,2016-11-23,2016-11-23
Man City,1876.26501465,2016-11-24,2016-11-24
Man City,1875.05615234,2016-11-25,2016-11-26
Man City,1878.77758789,2016-11-27,2016-12-03
Man City,1864.40686035,2016-12-04,2016-12-06
Man City,1856.9284668,2016-12-07,2016-12-07
Man City,1854.2532959,2016-12-08,2016-12-08
Man City,1854.52539062,2016-12-09,2016-12-10
Man City,1841.1126709,2016-12-11,2016-12-14
Man City,1844.47143555,2016-12-15,2016-12-18
Man City,1851.35656738,2016-12-19,2016-12-21
Man City,1851.35656738,2016-12-22,2016-12-26
Man City,1856.37072754,2016-12-27,2016-12-31
Man City,1849.75500488,2017-01-01,2017-01-02
Man City,1852.16174316,2017-01-03,2017-01-14
Man City,1852.16174316,2017-01-15,2017-01-15
Man City,1832.45983887,2017-01-16,2017-01-21
Man City,1831.11083984,2017-01-22,2017-02-01
Man City,1842.85827637,2017-02-02,2017-02-05
Man City,1844.9909668,2017-02-06,2017-02-11
Man City,1844.9909668,2017-02-12,2017-02-13
Man City,1850.43640137,2017-02-14,2017-02-14
Man City,1850.43640137,2017-02-15,2017-02-15
Man City,1847.59912109,2017-02-16,2017-02-16
Man City,1848.70678711,2017-02-17,2017-02-21
Man City,1858.22180176,2017-02-22,2017-02-22
Man City,1858.95495605,2017-02-23,2017-02-23
Man City,1853.88171387,2017-02-24,2017-03-02
Man City,1853.88171387,2017-03-03,2017-03-05
Man City,1858.82751465,2017-03-06,2017-03-07
Man City,1857.83557129,2017-03-08,2017-03-08
Man City,1851.66552734,2017-03-09,2017-03-09
Man City,1852.17614746,2017-03-10,2017-03-14
Man City,1858.33154297,2017-03-15,2017-03-15
Man City,1837.37817383,2017-03-16,2017-03-16
Man City,1838.86987305,2017-03-17,2017-03-19
Man City,1836.25292969,2017-03-20,2017-04-02
Man City,1837.78137207,2017-04-03,2017-04-05
Man City,1832.61901855,2017-04-06,2017-04-08
Man City,1835.23254395,2017-04-09,2017-04-12
Man City,1834.81652832,2017-04-13,2017-04-13
Man City,1835.27941895,2017-04-14,2017-04-15
Man City,1847.43115234,2017-04-16,2017-04-18
Man City,1846.8963623,2017-04-19,2017-04-20
Man City,1848.3651123,2017-04-21,2017-04-27
Man City,1846.27966309,2017-04-28,2017-04-30
Man City,1841.04589844,2017-05-01,2017-05-03
Man City,1841.04589844,2017-05-04,2017-05-04
Man City,1842.8013916,2017-05-05,2017-05-06
Man City,1847.78369141,2017-05-07,2017-05-11
Man City,1847.88415527,2017-05-12,2017-05-13
Man City,1851.5736084,2017-05-14,2017-05-14
Man City,1851.5736084,2017-05-15,2017-05-16
Man City,1854.93994141,2017-05-17,2017-05-21
Man City,1863.72644043,2017-05-22,2017-05-24
Man City,1866.47155762,2017-05-25,2017-07-27
Man City,1866.48486328,2017-07-28,2017-08-03
Man City,1866.80700684,2017-08-04,2017-08-12
Man City,1871.52685547,2017-08-13,2017-08-15
Man City,1874.1427002,2017-08-16,2017-08-17
Man City,1875.31213379,2017-08-18,2017-08-19
Man City,1875.31213379,2017-08-20,2017-08-21
Man City,1870.4453125,2017-08-22,2017-08-23
Man City,1872.00402832,2017-08-24,2017-08-24
Man City,1872.29858398,2017-08-25,2017-08-26
Man City,1876.28283691,2017-08-27,2017-09-09
Man City,1889.02062988,2017-09-10,2017-09-12
Man City,1890.39343262,2017-09-13,2017-09-13
Man City,1902.32385254,2017-09-14,2017-09-14
Man City,1899.48706055,2017-09-15,2017-09-16
Man City,1908.66113281,2017-09-17,2017-09-23
Man City,1911.5300293,2017-09-24,2017-09-26
Man City,1917.97741699,2017-09-27,2017-09-27
Man City,1925.77185059,2017-09-28,2017-09-28
Man City,1924.16845703,2017-09-29,2017-09-30
Man City,1934.30456543,2017-10-01,2017-10-01
Man City,1934.30456543,2017-10-02,2017-10-14
Man City,1938.48156738,2017-10-15,2017-10-17
Man City,1948.72033691,2017-10-18,2017-10-18
Man City,1949.13964844,2017-10-19,2017-10-19
Man City,1946.69970703,2017-10-20,2017-10-21
