Club,Elo,From,To
Middlesbrough,1555.25756836,2015-08-07,2015-08-09
Middlesbrough,1551.39697266,2015-08-10,2015-08-15
Middlesbrough,1558.59570312,2015-08-16,2015-08-18
Middlesbrough,1560.17822266,2015-08-19,2015-08-20
Middlesbrough,1558.75024414,2015-08-21,2015-08-22
Middlesbrough,1544.35693359,2015-08-23,2015-08-26
Middlesbrough,1546.10754395,2015-08-27,2015-08-27
Middlesbrough,1541.19128418,2015-08-28,2015-08-29
Middlesbrough,1550.85791016,2015-08-30,2015-09-12
Middlesbrough,1555.37792969,2015-09-13,2015-09-15
Middlesbrough,1555.34924316,2015-09-16,2015-09-16
Middlesbrough,1552.27648926,2015-09-17,2015-09-17
Middlesbrough,1553.32775879,2015-09-18,2015-09-19
Middlesbrough,1559.48461914,2015-09-20,2015-09-27
Middlesbrough,1566.52087402,2015-09-28,2015-09-29
Middlesbrough,1560.02331543,2015-09-30,2015-09-30
Middlesbrough,1564.70129395,2015-10-01,2015-10-01
Middlesbrough,1563.1784668,2015-10-02,2015-10-03
Middlesbrough,1548.43359375,2015-10-04,2015-10-17
Middlesbrough,1543.87353516,2015-10-18,2015-10-20
Middlesbrough,1539.93713379,2015-10-21,2015-10-21
Middlesbrough,1542.46850586,2015-10-22,2015-10-22
Middlesbrough,1537.41125488,2015-10-23,2015-10-24
Middlesbrough,1548.15966797,2015-10-25,2015-10-31
Middlesbrough,1554.01367188,2015-11-01,2015-11-03
Middlesbrough,1562.82446289,2015-11-04,2015-11-04
Middlesbrough,1562.35913086,2015-11-05,2015-11-05
Middlesbrough,1565.5255127,2015-11-06,2015-11-07
Middlesbrough,1554.34777832,2015-11-08,2015-11-20
Middlesbrough,1559.73583984,2015-11-21,2015-11-24
Middlesbrough,1562.69628906,2015-11-25,2015-11-25
Middlesbrough,1559.00341797,2015-11-26,2015-11-26
Middlesbrough,1561.10375977,2015-11-27,2015-11-28
Middlesbrough,1568.0333252,2015-11-29,2015-12-04
Middlesbrough,1578.65698242,2015-12-05,2015-12-08
Middlesbrough,1578.81884766,2015-12-09,2015-12-09
Middlesbrough,1585.62207031,2015-12-10,2015-12-10
Middlesbrough,1586.46057129,2015-12-11,2015-12-12
Middlesbrough,1581.88793945,2015-12-13,2015-12-15
Middlesbrough,1588.53967285,2015-12-16,2015-12-19
Middlesbrough,1601.54821777,2015-12-20,2015-12-28
Middlesbrough,1605.79528809,2015-12-29,2016-01-02
Middlesbrough,1614.66918945,2016-01-03,2016-01-05
Middlesbrough,1614.66918945,2016-01-06,2016-01-12
Middlesbrough,1620.91320801,2016-01-13,2016-01-13
Middlesbrough,1620.91320801,2016-01-14,2016-01-16
Middlesbrough,1606.98913574,2016-01-17,2016-01-22
Middlesbrough,1606.98913574,2016-01-23,2016-01-23
Middlesbrough,1593.92321777,2016-01-24,2016-02-06
Middlesbrough,1589.0826416,2016-02-07,2016-02-09
Middlesbrough,1584.36914062,2016-02-10,2016-02-15
Middlesbrough,1581.47583008,2016-02-16,2016-02-16
Middlesbrough,1580.8762207,2016-02-17,2016-02-18
Middlesbrough,1580.11340332,2016-02-19,2016-02-23
Middlesbrough,1585.95788574,2016-02-24,2016-02-24
Middlesbrough,1589.53515625,2016-02-25,2016-02-25
Middlesbrough,1598.66760254,2016-02-26,2016-02-27
Middlesbrough,1606.24169922,2016-02-28,2016-03-01
Middlesbrough,1595.93115234,2016-03-02,2016-03-04
Middlesbrough,1599.8293457,2016-03-05,2016-03-08
Middlesbrough,1587.44250488,2016-03-09,2016-03-09
Middlesbrough,1584.88574219,2016-03-10,2016-03-10
Middlesbrough,1580.65673828,2016-03-11,2016-03-13
Middlesbrough,1563.02319336,2016-03-14,2016-03-15
Middlesbrough,1563.10473633,2016-03-16,2016-03-16
Middlesbrough,1562.96398926,2016-03-17,2016-03-17
Middlesbrough,1561.60705566,2016-03-18,2016-03-18
Middlesbrough,1568.88134766,2016-03-19,2016-04-01
Middlesbrough,1576.7902832,2016-04-02,2016-04-05
Middlesbrough,1583.36047363,2016-04-06,2016-04-06
Middlesbrough,1584.97595215,2016-04-07,2016-04-07
Middlesbrough,1586.31542969,2016-04-08,2016-04-09
Middlesbrough,1590.31481934,2016-04-10,2016-04-12
Middlesbrough,1596.26367188,2016-04-13,2016-04-14
Middlesbrough,1599.89489746,2016-04-15,2016-04-16
Middlesbrough,1603.16711426,2016-04-17,2016-04-19
Middlesbrough,1605.11437988,2016-04-20,2016-04-21
Middlesbrough,1605.11437988,2016-04-22,2016-04-23
Middlesbrough,1600.54614258,2016-04-24,2016-04-26
Middlesbrough,1600.87976074,2016-04-27,2016-04-28
Middlesbrough,1599.4967041,2016-04-29,2016-04-29
Middlesbrough,1597.05688477,2016-04-30,2016-05-04
Middlesbrough,1595.75512695,2016-05-05,2016-05-05
Middlesbrough,1603.1484375,2016-05-06,2016-05-07
Middlesbrough,1601.12487793,2016-05-08,2016-05-18
Middlesbrough,1597.4543457,2016-05-19,2016-07-01
Middlesbrough,1597.4543457,2016-07-02,2016-07-28
Middlesbrough,1596.31188965,2016-07-29,2016-08-04
Middlesbrough,1597.75341797,2016-08-05,2016-08-13
Middlesbrough,1598.56994629,2016-08-14,2016-08-16
Middlesbrough,1599.85644531,2016-08-17,2016-08-18
Middlesbrough,1599.85266113,2016-08-19,2016-08-21
Middlesbrough,1611.08508301,2016-08-22,2016-08-24
Middlesbrough,1611.10070801,2016-08-25,2016-08-25
Middlesbrough,1604.01379395,2016-08-26,2016-08-28
Middlesbrough,1606.79260254,2016-08-29,2016-09-10
Middlesbrough,1597.25134277,2016-09-11,2016-09-13
Middlesbrough,1598.40734863,2016-09-14,2016-09-14
Middlesbrough,1600.47131348,2016-09-15,2016-09-15
Middlesbrough,1598.80334473,2016-09-16,2016-09-17
Middlesbrough,1593.0592041,2016-09-18,2016-09-24
Middlesbrough,1588.75402832,2016-09-25,2016-09-27
Middlesbrough,1593.22351074,2016-09-28,2016-09-28
Middlesbrough,1592.44494629,2016-09-29,2016-09-29
Middlesbrough,1591.87231445,2016-09-30,2016-10-01
Middlesbrough,1595.31201172,2016-10-02,2016-10-16
Middlesbrough,1586.8861084,2016-10-17,2016-10-18
Middlesbrough,1588.27111816,2016-10-19,2016-10-19
Middlesbrough,1587.38989258,2016-10-20,2016-10-20
Middlesbrough,1586.08728027,2016-10-21,2016-10-22
Middlesbrough,1593.70471191,2016-10-23,2016-10-29
Middlesbrough,1604.8963623,2016-10-30,2016-11-01
Middlesbrough,1610.25537109,2016-11-02,2016-11-02
Middlesbrough,1605.89538574,2016-11-03,2016-11-03
Middlesbrough,1604.07397461,2016-11-04,2016-11-05
Middlesbrough,1611.57592773,2016-11-06,2016-11-06
Middlesbrough,1611.57592773,2016-11-07,2016-11-20
Middlesbrough,1607.59094238,2016-11-21,2016-11-21
Middlesbrough,1607.59094238,2016-11-22,2016-11-22
Middlesbrough,1606.38366699,2016-11-23,2016-11-23
Middlesbrough,1605.28881836,2016-11-24,2016-11-24
Middlesbrough,1604.07995605,2016-11-25,2016-11-26
Middlesbrough,1609.6751709,2016-11-27,2016-11-27
Middlesbrough,1609.6751709,2016-11-28,2016-11-30
Middlesbrough,1609.6751709,2016-12-01,2016-12-03
Middlesbrough,1609.6751709,2016-12-04,2016-12-05
Middlesbrough,1615.40087891,2016-12-06,2016-12-06
Middlesbrough,1615.85974121,2016-12-07,2016-12-07
Middlesbrough,1613.18457031,2016-12-08,2016-12-08
Middlesbrough,1613.45666504,2016-12-09,2016-12-09
Middlesbrough,1613.45666504,2016-12-10,2016-12-11
Middlesbrough,1609.35424805,2016-12-12,2016-12-14
Middlesbrough,1601.29260254,2016-12-15,2016-12-17
Middlesbrough,1613.85546875,2016-12-18,2016-12-18
Middlesbrough,1613.85546875,2016-12-19,2016-12-20
Middlesbrough,1613.85546875,2016-12-21,2016-12-21
Middlesbrough,1613.85546875,2016-12-22,2016-12-22
Middlesbrough,1613.85546875,2016-12-23,2016-12-26
Middlesbrough,1607.39160156,2016-12-27,2016-12-31
Middlesbrough,1604.70544434,2017-01-01,2017-01-02
Middlesbrough,1606.59106445,2017-01-03,2017-01-14
Middlesbrough,1608.52783203,2017-01-15,2017-01-20
Middlesbrough,1608.52783203,2017-01-21,2017-01-21
Middlesbrough,1596.94787598,2017-01-22,2017-01-31
Middlesbrough,1597.37927246,2017-02-01,2017-02-04
Middlesbrough,1595.41149902,2017-02-05,2017-02-11
Middlesbrough,1597.84436035,2017-02-12,2017-02-15
Middlesbrough,1595.00708008,2017-02-16,2017-02-16
Middlesbrough,1596.11474609,2017-02-17,2017-02-21
Middlesbrough,1598.43713379,2017-02-22,2017-02-22
Middlesbrough,1599.17028809,2017-02-23,2017-02-23
Middlesbrough,1594.0970459,2017-02-24,2017-02-25
Middlesbrough,1587.19580078,2017-02-26,2017-03-04
Middlesbrough,1580.71020508,2017-03-05,2017-03-07
Middlesbrough,1579.71826172,2017-03-08,2017-03-09
Middlesbrough,1580.22888184,2017-03-10,2017-03-14
Middlesbrough,1586.38427734,2017-03-15,2017-03-15
Middlesbrough,1581.29748535,2017-03-16,2017-03-16
Middlesbrough,1582.78930664,2017-03-17,2017-03-19
Middlesbrough,1577.07373047,2017-03-20,2017-04-02
Middlesbrough,1580.16113281,2017-04-03,2017-04-05
Middlesbrough,1571.30664062,2017-04-06,2017-04-08
Middlesbrough,1570.92785645,2017-04-09,2017-04-12
Middlesbrough,1570.51184082,2017-04-13,2017-04-13
Middlesbrough,1570.97460938,2017-04-14,2017-04-17
Middlesbrough,1566.51306152,2017-04-18,2017-04-18
Middlesbrough,1565.97827148,2017-04-19,2017-04-20
Middlesbrough,1567.44702148,2017-04-21,2017-04-22
Middlesbrough,1557.72802734,2017-04-23,2017-04-26
Middlesbrough,1564.10620117,2017-04-27,2017-04-30
Middlesbrough,1569.33996582,2017-05-01,2017-05-04
Middlesbrough,1571.09545898,2017-05-05,2017-05-08
Middlesbrough,1569.01513672,2017-05-09,2017-05-11
Middlesbrough,1569.11560059,2017-05-12,2017-05-13
Middlesbrough,1562.02893066,2017-05-14,2017-05-21
Middlesbrough,1559.1628418,2017-05-22,2017-05-24
Middlesbrough,1561.90795898,2017-05-25,2017-07-01
Middlesbrough,1561.90795898,2017-07-02,2017-07-27
Middlesbrough,1561.92126465,2017-07-28,2017-08-03
Middlesbrough,1562.2434082,2017-08-04,2017-08-05
Middlesbrough,1553.03552246,2017-08-06,2017-08-12
Middlesbrough,1555.60412598,2017-08-13,2017-08-15
Middlesbrough,1562.41931152,2017-08-16,2017-08-17
Middlesbrough,1563.58874512,2017-08-18,2017-08-19
Middlesbrough,1554.06811523,2017-08-20,2017-08-23
Middlesbrough,1555.62683105,2017-08-24,2017-08-24
Middlesbrough,1555.92138672,2017-08-25,2017-08-26
Middlesbrough,1551.86206055,2017-08-27,2017-09-09
Middlesbrough,1560.52355957,2017-09-10,2017-09-12
Middlesbrough,1561.54870605,2017-09-13,2017-09-13
Middlesbrough,1565.28051758,2017-09-14,2017-09-14
Middlesbrough,1562.44372559,2017-09-15,2017-09-16
Middlesbrough,1566.41479492,2017-09-17,2017-09-23
Middlesbrough,1567.88879395,2017-09-24,2017-09-26
Middlesbrough,1559.02160645,2017-09-27,2017-09-27
Middlesbrough,1566.81604004,2017-09-28,2017-09-28
Middlesbrough,1565.21264648,2017-09-29,2017-09-30
Middlesbrough,1561.19116211,2017-10-01,2017-10-14
Middlesbrough,1559.36560059,2017-10-15,2017-10-17
