Club,Elo,From,To
Forest,1431.1751709,2015-08-08,2015-08-15
Forest,1436.36254883,2015-08-16,2015-08-18
Forest,1436.91601562,2015-08-19,2015-08-20
Forest,1435.48815918,2015-08-21,2015-08-22
Forest,1436.27380371,2015-08-23,2015-08-26
Forest,1438.02441406,2015-08-27,2015-08-27
Forest,1433.1081543,2015-08-28,2015-08-29
Forest,1424.90551758,2015-08-30,2015-09-12
Forest,1436.52075195,2015-09-13,2015-09-15
Forest,1439.83911133,2015-09-16,2015-09-16
Forest,1436.76647949,2015-09-17,2015-09-17
Forest,1437.81762695,2015-09-18,2015-09-19
Forest,1431.6607666,2015-09-20,2015-09-24
Forest,1432.26367188,2015-09-25,2015-09-29
Forest,1425.76611328,2015-09-30,2015-09-30
Forest,1430.4440918,2015-10-01,2015-10-01
Forest,1428.92126465,2015-10-02,2015-10-03
Forest,1422.81677246,2015-10-04,2015-10-16
Forest,1409.36572266,2015-10-17,2015-10-20
Forest,1417.41625977,2015-10-21,2015-10-21
Forest,1419.94763184,2015-10-22,2015-10-22
Forest,1414.89038086,2015-10-23,2015-10-24
Forest,1415.09802246,2015-10-25,2015-10-31
Forest,1408.99060059,2015-11-01,2015-11-03
Forest,1406.8079834,2015-11-04,2015-11-04
Forest,1406.34265137,2015-11-05,2015-11-05
Forest,1409.50891113,2015-11-06,2015-11-06
Forest,1420.10510254,2015-11-07,2015-11-21
Forest,1414.39575195,2015-11-22,2015-11-24
Forest,1417.35632324,2015-11-25,2015-11-25
Forest,1413.66345215,2015-11-26,2015-11-26
Forest,1415.76367188,2015-11-27,2015-11-28
Forest,1426.97961426,2015-11-29,2015-12-05
Forest,1438.84606934,2015-12-06,2015-12-08
Forest,1439.00793457,2015-12-09,2015-12-09
Forest,1445.81115723,2015-12-10,2015-12-10
Forest,1446.6496582,2015-12-11,2015-12-11
Forest,1449.03295898,2015-12-12,2015-12-14
Forest,1451.78137207,2015-12-15,2015-12-19
Forest,1456.60998535,2015-12-20,2015-12-27
Forest,1454.79650879,2015-12-28,2015-12-29
Forest,1456.94360352,2015-12-30,2016-01-02
Forest,1456.01330566,2016-01-03,2016-01-12
Forest,1454.77880859,2016-01-13,2016-01-16
Forest,1462.54174805,2016-01-17,2016-01-23
Forest,1475.60766602,2016-01-24,2016-01-26
Forest,1474.59204102,2016-01-27,2016-02-06
Forest,1483.23754883,2016-02-07,2016-02-13
Forest,1467.23779297,2016-02-14,2016-02-16
Forest,1466.63818359,2016-02-17,2016-02-18
Forest,1465.87536621,2016-02-19,2016-02-23
Forest,1460.60437012,2016-02-24,2016-02-24
Forest,1464.18164062,2016-02-25,2016-02-25
Forest,1473.31408691,2016-02-26,2016-02-27
Forest,1461.59240723,2016-02-28,2016-03-05
Forest,1456.05639648,2016-03-06,2016-03-08
Forest,1462.94445801,2016-03-09,2016-03-09
Forest,1460.38769531,2016-03-10,2016-03-10
Forest,1456.15869141,2016-03-11,2016-03-12
Forest,1441.74914551,2016-03-13,2016-03-15
Forest,1446.95544434,2016-03-16,2016-03-16
Forest,1446.81469727,2016-03-17,2016-03-17
Forest,1445.45776367,2016-03-18,2016-03-19
Forest,1440.58776855,2016-03-20,2016-04-02
Forest,1423.7322998,2016-04-03,2016-04-05
Forest,1417.0168457,2016-04-06,2016-04-06
Forest,1418.63232422,2016-04-07,2016-04-07
Forest,1419.97180176,2016-04-08,2016-04-11
Forest,1413.44421387,2016-04-12,2016-04-12
Forest,1416.02197266,2016-04-13,2016-04-14
Forest,1419.65319824,2016-04-15,2016-04-16
Forest,1421.56787109,2016-04-17,2016-04-19
Forest,1421.25708008,2016-04-20,2016-04-23
Forest,1434.92724609,2016-04-24,2016-04-26
Forest,1435.26086426,2016-04-27,2016-04-28
Forest,1433.87780762,2016-04-29,2016-04-30
Forest,1433.38098145,2016-05-01,2016-05-04
Forest,1432.07922363,2016-05-05,2016-05-05
Forest,1439.47241211,2016-05-06,2016-05-07
Forest,1446.81298828,2016-05-08,2016-05-18
Forest,1443.14257812,2016-05-19,2016-07-28
Forest,1442.0,2016-07-29,2016-08-04
Forest,1443.44165039,2016-08-05,2016-08-06
Forest,1448.23205566,2016-08-07,2016-08-12
Forest,1441.10424805,2016-08-13,2016-08-16
Forest,1437.37341309,2016-08-17,2016-08-18
Forest,1437.36962891,2016-08-19,2016-08-20
Forest,1442.46789551,2016-08-21,2016-08-24
Forest,1442.48352051,2016-08-25,2016-08-25
Forest,1435.39660645,2016-08-26,2016-08-27
Forest,1445.26184082,2016-08-28,2016-09-11
Forest,1448.09692383,2016-09-12,2016-09-13
Forest,1449.25292969,2016-09-14,2016-09-14
Forest,1451.23291016,2016-09-15,2016-09-15
Forest,1449.56506348,2016-09-16,2016-09-17
Forest,1443.5994873,2016-09-18,2016-09-24
Forest,1438.50622559,2016-09-25,2016-09-27
Forest,1440.88684082,2016-09-28,2016-09-28
Forest,1440.10827637,2016-09-29,2016-09-29
Forest,1439.53564453,2016-09-30,2016-10-01
Forest,1433.57836914,2016-10-02,2016-10-14
Forest,1445.5078125,2016-10-15,2016-10-18
Forest,1439.93933105,2016-10-19,2016-10-19
Forest,1439.0579834,2016-10-20,2016-10-20
Forest,1437.75549316,2016-10-21,2016-10-22
Forest,1428.26184082,2016-10-23,2016-10-29
Forest,1419.25,2016-10-30,2016-11-01
Forest,1424.60913086,2016-11-02,2016-11-02
Forest,1420.24914551,2016-11-03,2016-11-03
Forest,1418.4276123,2016-11-04,2016-11-05
Forest,1418.09594727,2016-11-06,2016-11-19
Forest,1434.19897461,2016-11-20,2016-11-22
Forest,1432.99169922,2016-11-23,2016-11-23
Forest,1431.89685059,2016-11-24,2016-11-24
Forest,1430.68798828,2016-11-25,2016-11-25
Forest,1445.41125488,2016-11-26,2016-12-02
Forest,1457.0871582,2016-12-03,2016-12-06
Forest,1457.54602051,2016-12-07,2016-12-07
Forest,1454.87072754,2016-12-08,2016-12-08
Forest,1455.14294434,2016-12-09,2016-12-11
Forest,1446.83532715,2016-12-12,2016-12-14
Forest,1445.50231934,2016-12-15,2016-12-17
Forest,1431.42797852,2016-12-18,2016-12-26
Forest,1425.68054199,2016-12-27,2016-12-30
Forest,1422.25817871,2016-12-31,2017-01-02
Forest,1412.98120117,2017-01-03,2017-01-14
Forest,1415.64538574,2017-01-15,2017-01-21
Forest,1421.42431641,2017-01-22,2017-01-25
Forest,1415.40478516,2017-01-26,2017-01-31
Forest,1421.4185791,2017-02-01,2017-02-04
Forest,1429.20300293,2017-02-05,2017-02-11
Forest,1421.2220459,2017-02-12,2017-02-14
Forest,1416.45349121,2017-02-15,2017-02-15
Forest,1413.61621094,2017-02-16,2017-02-16
Forest,1414.72375488,2017-02-17,2017-02-18
Forest,1408.23974609,2017-02-19,2017-02-21
Forest,1410.56201172,2017-02-22,2017-02-22
Forest,1411.29528809,2017-02-23,2017-02-23
Forest,1406.2220459,2017-02-24,2017-02-25
Forest,1406.87072754,2017-02-26,2017-03-04
Forest,1426.21350098,2017-03-05,2017-03-07
Forest,1416.8828125,2017-03-08,2017-03-09
Forest,1417.39343262,2017-03-10,2017-03-11
Forest,1410.07507324,2017-03-12,2017-03-14
Forest,1416.23046875,2017-03-15,2017-03-15
Forest,1411.14379883,2017-03-16,2017-03-16
Forest,1412.63549805,2017-03-17,2017-03-18
Forest,1412.85656738,2017-03-19,2017-04-01
Forest,1417.02575684,2017-04-02,2017-04-04
Forest,1411.82495117,2017-04-05,2017-04-08
Forest,1423.27514648,2017-04-09,2017-04-12
Forest,1422.85913086,2017-04-13,2017-04-13
Forest,1423.32202148,2017-04-14,2017-04-14
Forest,1412.6307373,2017-04-15,2017-04-17
Forest,1407.8536377,2017-04-18,2017-04-18
Forest,1407.31884766,2017-04-19,2017-04-20
Forest,1408.78759766,2017-04-21,2017-04-22
Forest,1417.18200684,2017-04-23,2017-04-29
Forest,1408.95898438,2017-04-30,2017-05-04
Forest,1410.71447754,2017-05-05,2017-05-07
Forest,1422.78295898,2017-05-08,2017-05-11
Forest,1422.88342285,2017-05-12,2017-05-24
Forest,1425.62866211,2017-05-25,2017-07-27
Forest,1425.64196777,2017-07-28,2017-08-03
Forest,1425.96398926,2017-08-04,2017-08-04
Forest,1430.49829102,2017-08-05,2017-08-12
Forest,1441.86804199,2017-08-13,2017-08-15
Forest,1437.43188477,2017-08-16,2017-08-17
Forest,1438.60131836,2017-08-18,2017-08-19
Forest,1448.12194824,2017-08-20,2017-08-23
Forest,1449.68066406,2017-08-24,2017-08-24
Forest,1449.97521973,2017-08-25,2017-08-26
Forest,1438.96032715,2017-08-27,2017-09-09
Forest,1433.08410645,2017-09-10,2017-09-12
Forest,1446.74414062,2017-09-13,2017-09-13
Forest,1450.47607422,2017-09-14,2017-09-14
Forest,1447.63928223,2017-09-15,2017-09-16
Forest,1438.7746582,2017-09-17,2017-09-23
Forest,1433.67333984,2017-09-24,2017-09-26
Forest,1426.59118652,2017-09-27,2017-09-27
Forest,1434.38574219,2017-09-28,2017-09-28
Forest,1432.78234863,2017-09-29,2017-09-30
Forest,1439.24951172,2017-10-01,2017-10-15
Forest,1432.46679688,2017-10-16,2017-10-17
Forest,1437.78857422,2017-10-18,2017-10-18
Forest,1438.20788574,2017-10-19,2017-10-19
Forest,1435.76794434,2017-10-20,2017-10-21
Forest,1443.47949219,2017-10-22,2017-10-28
Forest,1455.92285156,2017-10-29,2017-10-31
Forest,1445.41491699,2017-11-01,2017-11-01
Forest,1453.60668945,2017-11-02,2017-11-02
Forest,1448.27368164,2017-11-03,2017-11-04
Forest,1462.16418457,2017-11-05,2017-11-18
Forest,1453.46557617,2017-11-19,2017-11-21
Forest,1463.4720459,2017-11-22,2017-11-22
Forest,1460.66442871,2017-11-23,2017-11-23
Forest,1450.11413574,2017-11-24,2017-11-26
Forest,1440.03039551,2017-11-27,2017-12-02
Forest,1431.7902832,2017-12-03,2017-12-05
Forest,1431.82006836,2017-12-06,2017-12-06
Forest,1431.078125,2017-12-07,2017-12-07
Forest,1434.95507812,2017-12-08,2017-12-09
Forest,1439.82751465,2017-12-10,2017-12-16
Forest,1435.25683594,2017-12-17,2017-12-23
Forest,1438.64477539,2017-12-24,2017-12-26
Forest,1424.38500977,2017-12-27,2017-12-30
Forest,1416.01818848,2017-12-31,2018-01-01
Forest,1420.6451416,2018-01-02,2018-01-13
Forest,1414.22375488,2018-01-14,2018-01-20
Forest,1433.21350098,2018-01-21,2018-01-30
Forest,1419.62634277,2018-01-31,2018-02-03
Forest,1414.84143066,2018-02-04,2018-02-10
Forest,1403.59338379,2018-02-11,2018-02-13
Forest,1406.48217773,2018-02-14,2018-02-14
Forest,1410.52355957,2018-02-15,2018-02-15
Forest,1411.08911133,2018-02-16,2018-02-17
Forest,1411.59594727,2018-02-18,2018-02-20
Forest,1411.03808594,2018-02-21,2018-02-21
Forest,1410.95117188,2018-02-22,2018-02-22
Forest,1410.80310059,2018-02-23,2018-02-24
Forest,1428.62316895,2018-02-25,2018-03-03
Forest,1434.2755127,2018-03-04,2018-03-06
Forest,1437.71313477,2018-03-07,2018-03-07
Forest,1432.51501465,2018-03-08,2018-03-08
Forest,1435.76989746,2018-03-09,2018-03-11
Forest,1437.42602539,2018-03-12,2018-03-13
Forest,1431.70043945,2018-03-14,2018-03-14
Forest,1429.69604492,2018-03-15,2018-03-15
Forest,1430.79943848,2018-03-16,2018-03-17
Forest,1433.32324219,2018-03-18,2018-03-30
Forest,1425.74841309,2018-03-31,2018-04-05
Forest,1429.33886719,2018-04-06,2018-04-07
Forest,1423.68103027,2018-04-08,2018-04-10
Forest,1416.80566406,2018-04-11,2018-04-12
Forest,1417.10168457,2018-04-13,2018-04-14
Forest,1424.65844727,2018-04-15,2018-04-21
Forest,1421.33081055,2018-04-22,2018-04-24
Forest,1434.52099609,2018-04-25,2018-04-26
Forest,1433.83959961,2018-04-27,2018-04-28
Forest,1433.7286377,2018-04-29,2018-05-02
Forest,1432.81848145,2018-05-03,2018-05-03
Forest,1431.26489258,2018-05-04,2018-05-06
Forest,1422.68981934,2018-05-07,2018-05-26
Forest,1420.16796875,2018-05-27,2018-07-26
Forest,1420.18566895,2018-07-27,2018-08-02
Forest,1421.11291504,2018-08-03,2018-08-04
Forest,1424.40710449,2018-08-05,2018-08-07
Forest,1427.5958252,2018-08-08,2018-08-09
Forest,1427.99694824,2018-08-10,2018-08-11
Forest,1433.74023438,2018-08-12,2018-08-16
Forest,1436.48193359,2018-08-17,2018-08-18
Forest,1436.90881348,2018-08-19,2018-08-23
Forest,1433.15368652,2018-08-24,2018-08-25
Forest,1430.39904785,2018-08-26,2018-08-30
Forest,1427.91467285,2018-08-31,2018-09-01
Forest,1423.73913574,2018-09-02,2018-09-15
Forest,1429.90112305,2018-09-16,2018-09-18
Forest,1428.06225586,2018-09-19,2018-09-19
Forest,1434.22998047,2018-09-20,2018-09-20
Forest,1436.55651855,2018-09-21,2018-09-22
Forest,1441.50561523,2018-09-23,2018-09-29
Forest,1442.52856445,2018-09-30,2018-10-02
Forest,1442.45947266,2018-10-03,2018-10-03
Forest,1434.82666016,2018-10-04,2018-10-04
Forest,1436.6763916,2018-10-05,2018-10-06
Forest,1455.24951172,2018-10-07,2018-10-20
Forest,1446.26379395,2018-10-21,2018-10-23
Forest,1446.84240723,2018-10-24,2018-10-24
Forest,1460.18701172,2018-10-25,2018-10-25
Forest,1462.80712891,2018-10-26,2018-10-27
Forest,1465.8984375,2018-10-28,2018-11-03
Forest,1473.48425293,2018-11-04,2018-11-06
Forest,1468.51843262,2018-11-07,2018-11-07
Forest,1474.51098633,2018-11-08,2018-11-08
Forest,1473.32263184,2018-11-09,2018-11-10
Forest,1474.20739746,2018-11-11,2018-11-24
Forest,1486.61755371,2018-11-25,2018-11-27
Forest,1485.85778809,2018-11-28,2018-11-28
Forest,1488.26574707,2018-11-29,2018-11-29
Forest,1490.83947754,2018-11-30,2018-12-01
Forest,1496.66357422,2018-12-02,2018-12-08
Forest,1486.65698242,2018-12-09,2018-12-11
Forest,1489.80273438,2018-12-12,2018-12-12
Forest,1487.78405762,2018-12-13,2018-12-13
Forest,1485.57507324,2018-12-14,2018-12-17
Forest,1488.75085449,2018-12-18,2018-12-22
Forest,1478.15637207,2018-12-23,2018-12-26
Forest,1481.7578125,2018-12-27,2018-12-29
Forest,1473.85144043,2018-12-30,2019-01-01
Forest,1485.56604004,2019-01-02,2019-01-12
Forest,1471.91345215,2019-01-13,2019-01-19
Forest,1463.11328125,2019-01-20,2019-01-26
Forest,1469.86633301,2019-01-27,2019-02-02
Forest,1460.88146973,2019-02-03,2019-02-09
Forest,1468.22497559,2019-02-10,2019-02-12
Forest,1469.02490234,2019-02-13,2019-02-13
Forest,1472.87988281,2019-02-14,2019-02-14
Forest,1471.86218262,2019-02-15,2019-02-16
Forest,1474.71655273,2019-02-17,2019-02-19
Forest,1474.0847168,2019-02-20,2019-02-20
Forest,1474.73840332,2019-02-21,2019-02-21
Forest,1477.72705078,2019-02-22,2019-02-25
Forest,1485.35241699,2019-02-26,2019-03-02
Forest,1476.61096191,2019-03-03,2019-03-05
Forest,1478.07373047,2019-03-06,2019-03-06
Forest,1484.92834473,2019-03-07,2019-03-07
