Club,Elo,From,To
Sheffield United,1351.93554688,2017-07-01,2017-07-27
Sheffield United,1351.94885254,2017-07-28,2017-08-03
Sheffield United,1352.27099609,2017-08-04,2017-08-05
Sheffield United,1362.05969238,2017-08-06,2017-08-12
Sheffield United,1359.49108887,2017-08-13,2017-08-15
Sheffield United,1357.44628906,2017-08-16,2017-08-17
Sheffield United,1358.61572266,2017-08-18,2017-08-19
Sheffield United,1366.07592773,2017-08-20,2017-08-23
Sheffield United,1367.63464355,2017-08-24,2017-08-24
Sheffield United,1367.92919922,2017-08-25,2017-08-26
Sheffield United,1381.89990234,2017-08-27,2017-09-09
Sheffield United,1395.57788086,2017-09-10,2017-09-12
Sheffield United,1405.4197998,2017-09-13,2017-09-13
Sheffield United,1409.15161133,2017-09-14,2017-09-14
Sheffield United,1406.31494141,2017-09-15,2017-09-16
Sheffield United,1398.9630127,2017-09-17,2017-09-24
Sheffield United,1417.97619629,2017-09-25,2017-09-26
Sheffield United,1420.53527832,2017-09-27,2017-09-27
Sheffield United,1440.58911133,2017-09-28,2017-09-28
Sheffield United,1438.98571777,2017-09-29,2017-09-30
Sheffield United,1432.51855469,2017-10-01,2017-10-14
Sheffield United,1439.76013184,2017-10-15,2017-10-17
Sheffield United,1445.08190918,2017-10-18,2017-10-18
Sheffield United,1445.5012207,2017-10-19,2017-10-19
Sheffield United,1443.06115723,2017-10-20,2017-10-21
Sheffield United,1451.3527832,2017-10-22,2017-10-27
Sheffield United,1463.64880371,2017-10-28,2017-10-31
Sheffield United,1454.37939453,2017-11-01,2017-11-01
Sheffield United,1462.57116699,2017-11-02,2017-11-02
Sheffield United,1457.23828125,2017-11-03,2017-11-04
Sheffield United,1471.87475586,2017-11-05,2017-11-17
Sheffield United,1482.24975586,2017-11-18,2017-11-21
Sheffield United,1476.26635742,2017-11-22,2017-11-22
Sheffield United,1473.45874023,2017-11-23,2017-11-23
Sheffield United,1462.90844727,2017-11-24,2017-11-25
Sheffield United,1458.79016113,2017-11-26,2017-12-02
Sheffield United,1446.70324707,2017-12-03,2017-12-05
Sheffield United,1446.73303223,2017-12-06,2017-12-06
Sheffield United,1445.99108887,2017-12-07,2017-12-07
Sheffield United,1449.86791992,2017-12-08,2017-12-08
Sheffield United,1442.02807617,2017-12-09,2017-12-16
Sheffield United,1436.69641113,2017-12-17,2017-12-23
Sheffield United,1440.73352051,2017-12-24,2017-12-26
Sheffield United,1453.28527832,2017-12-27,2017-12-30
Sheffield United,1441.57287598,2017-12-31,2018-01-01
