Club,Elo,From,To
Southampton,1717.71142578,2015-08-07,2015-08-09
Southampton,1715.51745605,2015-08-10,2015-08-15
Southampton,1698.8638916,2015-08-16,2015-08-18
Southampton,1700.25964355,2015-08-19,2015-08-19
Southampton,1700.25964355,2015-08-20,2015-08-20
Southampton,1694.46203613,2015-08-21,2015-08-23
Southampton,1692.52270508,2015-08-24,2015-08-25
Southampton,1692.52270508,2015-08-26,2015-08-26
Southampton,1694.27331543,2015-08-27,2015-08-27
Southampton,1674.28430176,2015-08-28,2015-08-29
Southampton,1674.28430176,2015-08-30,2015-08-30
Southampton,1684.06799316,2015-08-31,2015-09-11
Southampton,1684.06799316,2015-09-12,2015-09-12
Southampton,1683.7590332,2015-09-13,2015-09-13
Southampton,1683.7590332,2015-09-14,2015-09-14
Southampton,1683.7590332,2015-09-15,2015-09-15
Southampton,1676.99023438,2015-09-16,2015-09-16
Southampton,1673.91760254,2015-09-17,2015-09-17
Southampton,1674.96875,2015-09-18,2015-09-19
Southampton,1674.96875,2015-09-20,2015-09-20
Southampton,1668.90808105,2015-09-21,2015-09-21
Southampton,1668.90808105,2015-09-22,2015-09-23
Southampton,1668.90808105,2015-09-24,2015-09-26
Southampton,1678.8494873,2015-09-27,2015-09-27
Southampton,1678.8494873,2015-09-28,2015-09-29
Southampton,1672.35205078,2015-09-30,2015-09-30
Southampton,1677.02990723,2015-10-01,2015-10-01
Southampton,1675.50720215,2015-10-02,2015-10-03
Southampton,1693.66052246,2015-10-04,2015-10-17
Southampton,1691.01171875,2015-10-18,2015-10-18
Southampton,1691.01171875,2015-10-19,2015-10-20
Southampton,1696.29821777,2015-10-21,2015-10-21
Southampton,1698.82958984,2015-10-22,2015-10-22
Southampton,1693.77233887,2015-10-23,2015-10-25
Southampton,1695.5291748,2015-10-26,2015-11-01
Southampton,1701.12670898,2015-11-02,2015-11-03
Southampton,1707.19311523,2015-11-04,2015-11-04
Southampton,1706.7277832,2015-11-05,2015-11-05
Southampton,1709.89404297,2015-11-06,2015-11-06
Southampton,1709.89404297,2015-11-07,2015-11-07
Southampton,1715.40527344,2015-11-08,2015-11-08
Southampton,1715.40527344,2015-11-09,2015-11-20
Southampton,1715.40527344,2015-11-21,2015-11-21
Southampton,1705.24206543,2015-11-22,2015-11-22
Southampton,1705.24206543,2015-11-23,2015-11-24
Southampton,1708.20263672,2015-11-25,2015-11-25
Southampton,1704.50976562,2015-11-26,2015-11-26
Southampton,1706.60998535,2015-11-27,2015-11-28
Southampton,1701.59692383,2015-11-29,2015-12-05
Southampton,1696.16784668,2015-12-06,2015-12-08
Southampton,1696.32971191,2015-12-09,2015-12-09
Southampton,1703.1328125,2015-12-10,2015-12-10
Southampton,1703.97143555,2015-12-11,2015-12-12
Southampton,1696.34521484,2015-12-13,2015-12-19
Southampton,1686.04614258,2015-12-20,2015-12-26
Southampton,1709.23999023,2015-12-27,2015-12-28
Southampton,1701.14160156,2015-12-29,2015-12-30
Southampton,1701.14160156,2015-12-31,2016-01-02
Southampton,1692.14221191,2016-01-03,2016-01-03
Southampton,1692.14221191,2016-01-04,2016-01-06
Southampton,1692.14221191,2016-01-07,2016-01-09
Southampton,1692.14221191,2016-01-10,2016-01-10
Southampton,1692.14221191,2016-01-11,2016-01-13
Southampton,1699.97680664,2016-01-14,2016-01-16
Southampton,1709.89733887,2016-01-17,2016-01-22
Southampton,1709.89733887,2016-01-23,2016-01-23
Southampton,1721.53320312,2016-01-24,2016-01-24
Southampton,1721.53320312,2016-01-25,2016-01-30
Southampton,1721.53320312,2016-01-31,2016-02-02
Southampton,1725.97485352,2016-02-03,2016-02-05
Southampton,1725.97485352,2016-02-06,2016-02-06
Southampton,1731.86279297,2016-02-07,2016-02-12
Southampton,1731.86279297,2016-02-13,2016-02-13
Southampton,1739.16821289,2016-02-14,2016-02-16
Southampton,1738.56860352,2016-02-17,2016-02-18
Southampton,1737.80578613,2016-02-19,2016-02-21
Southampton,1737.80578613,2016-02-22,2016-02-23
Southampton,1736.67883301,2016-02-24,2016-02-24
Southampton,1740.25622559,2016-02-25,2016-02-25
Southampton,1749.3885498,2016-02-26,2016-02-27
Southampton,1741.71850586,2016-02-28,2016-03-01
Southampton,1727.61877441,2016-03-02,2016-03-05
Southampton,1722.95227051,2016-03-06,2016-03-06
Southampton,1722.95227051,2016-03-07,2016-03-09
Southampton,1720.39550781,2016-03-10,2016-03-10
Southampton,1716.16650391,2016-03-11,2016-03-12
Southampton,1725.56152344,2016-03-13,2016-03-13
Southampton,1725.56152344,2016-03-14,2016-03-15
Southampton,1725.64294434,2016-03-16,2016-03-16
Southampton,1725.50219727,2016-03-17,2016-03-17
Southampton,1724.14526367,2016-03-18,2016-03-18
Southampton,1724.14526367,2016-03-19,2016-03-20
Southampton,1732.27209473,2016-03-21,2016-04-02
Southampton,1732.27209473,2016-04-03,2016-04-03
Southampton,1726.55102539,2016-04-04,2016-04-06
Southampton,1728.16650391,2016-04-07,2016-04-07
Southampton,1729.50598145,2016-04-08,2016-04-09
Southampton,1734.20727539,2016-04-10,2016-04-12
Southampton,1736.78503418,2016-04-13,2016-04-14
Southampton,1740.41625977,2016-04-15,2016-04-16
Southampton,1741.20959473,2016-04-17,2016-04-21
Southampton,1741.20959473,2016-04-22,2016-04-23
Southampton,1746.87084961,2016-04-24,2016-04-24
Southampton,1746.87084961,2016-04-25,2016-04-26
Southampton,1747.20446777,2016-04-27,2016-04-28
Southampton,1745.82141113,2016-04-29,2016-04-30
Southampton,1745.82141113,2016-05-01,2016-05-01
Southampton,1760.31542969,2016-05-02,2016-05-04
Southampton,1759.01379395,2016-05-05,2016-05-05
Southampton,1766.40698242,2016-05-06,2016-05-08
Southampton,1777.80749512,2016-05-09,2016-05-14
Southampton,1777.80749512,2016-05-15,2016-05-15
Southampton,1784.66491699,2016-05-16,2016-05-18
