Club,Elo,From,To
Stoke,1698.30883789,2015-08-07,2015-08-08
Stoke,1698.30883789,2015-08-09,2015-08-09
Stoke,1690.35583496,2015-08-10,2015-08-15
Stoke,1692.77258301,2015-08-16,2015-08-16
Stoke,1692.77258301,2015-08-17,2015-08-18
Stoke,1694.16833496,2015-08-19,2015-08-20
Stoke,1692.74047852,2015-08-21,2015-08-22
Stoke,1691.87646484,2015-08-23,2015-08-23
Stoke,1691.87646484,2015-08-24,2015-08-25
Stoke,1691.87646484,2015-08-26,2015-08-26
Stoke,1693.6270752,2015-08-27,2015-08-27
Stoke,1688.71081543,2015-08-28,2015-08-28
Stoke,1688.71081543,2015-08-29,2015-08-29
Stoke,1677.6237793,2015-08-30,2015-08-30
Stoke,1677.6237793,2015-08-31,2015-09-12
Stoke,1672.40649414,2015-09-13,2015-09-13
Stoke,1672.40649414,2015-09-14,2015-09-14
Stoke,1672.40649414,2015-09-15,2015-09-15
Stoke,1665.63769531,2015-09-16,2015-09-16
Stoke,1662.56506348,2015-09-17,2015-09-17
Stoke,1663.61621094,2015-09-18,2015-09-19
Stoke,1661.85864258,2015-09-20,2015-09-20
Stoke,1661.85864258,2015-09-21,2015-09-22
Stoke,1661.85864258,2015-09-23,2015-09-23
Stoke,1661.85864258,2015-09-24,2015-09-26
Stoke,1666.79821777,2015-09-27,2015-09-27
Stoke,1666.79821777,2015-09-28,2015-09-29
Stoke,1660.30065918,2015-09-30,2015-09-30
Stoke,1664.9786377,2015-10-01,2015-10-01
Stoke,1663.45581055,2015-10-02,2015-10-03
Stoke,1669.54919434,2015-10-04,2015-10-04
Stoke,1669.54919434,2015-10-05,2015-10-17
Stoke,1669.54919434,2015-10-18,2015-10-19
Stoke,1678.53271484,2015-10-20,2015-10-20
Stoke,1683.81921387,2015-10-21,2015-10-21
Stoke,1686.35058594,2015-10-22,2015-10-22
Stoke,1681.29333496,2015-10-23,2015-10-23
Stoke,1681.29333496,2015-10-24,2015-10-24
Stoke,1664.62646484,2015-10-25,2015-10-25
Stoke,1664.62646484,2015-10-26,2015-10-31
Stoke,1662.8614502,2015-11-01,2015-11-01
Stoke,1662.8614502,2015-11-02,2015-11-03
Stoke,1668.92785645,2015-11-04,2015-11-04
Stoke,1668.46252441,2015-11-05,2015-11-05
Stoke,1671.62878418,2015-11-06,2015-11-07
Stoke,1682.05432129,2015-11-08,2015-11-21
Stoke,1692.2175293,2015-11-22,2015-11-24
Stoke,1695.17797852,2015-11-25,2015-11-25
Stoke,1691.48510742,2015-11-26,2015-11-26
Stoke,1693.58544922,2015-11-27,2015-11-27
Stoke,1693.58544922,2015-11-28,2015-11-28
Stoke,1678.84814453,2015-11-29,2015-11-30
Stoke,1678.84814453,2015-12-01,2015-12-05
Stoke,1695.63183594,2015-12-06,2015-12-08
Stoke,1695.79370117,2015-12-09,2015-12-09
Stoke,1702.59692383,2015-12-10,2015-12-10
Stoke,1703.4354248,2015-12-11,2015-12-12
Stoke,1703.37097168,2015-12-13,2015-12-13
Stoke,1703.37097168,2015-12-14,2015-12-19
Stoke,1693.71838379,2015-12-20,2015-12-20
Stoke,1693.71838379,2015-12-21,2015-12-26
Stoke,1707.52294922,2015-12-27,2015-12-28
Stoke,1717.45263672,2015-12-29,2016-01-02
Stoke,1708.69726562,2016-01-03,2016-01-10
Stoke,1708.69726562,2016-01-11,2016-01-13
Stoke,1715.30041504,2016-01-14,2016-01-15
Stoke,1715.30041504,2016-01-16,2016-01-16
Stoke,1715.30041504,2016-01-17,2016-01-17
Stoke,1717.41723633,2016-01-18,2016-01-18
Stoke,1717.41723633,2016-01-19,2016-01-23
Stoke,1706.46923828,2016-01-24,2016-01-27
Stoke,1706.46923828,2016-01-28,2016-01-31
Stoke,1706.46923828,2016-02-01,2016-02-01
Stoke,1706.46923828,2016-02-02,2016-02-02
Stoke,1697.61047363,2016-02-03,2016-02-06
Stoke,1682.32128906,2016-02-07,2016-02-08
Stoke,1682.32128906,2016-02-09,2016-02-13
Stoke,1693.24450684,2016-02-14,2016-02-16
Stoke,1692.64489746,2016-02-17,2016-02-17
Stoke,1692.64489746,2016-02-18,2016-02-18
Stoke,1691.88208008,2016-02-19,2016-02-23
Stoke,1690.75512695,2016-02-24,2016-02-24
Stoke,1694.33251953,2016-02-25,2016-02-25
Stoke,1703.46484375,2016-02-26,2016-02-27
Stoke,1707.05712891,2016-02-28,2016-02-29
Stoke,1707.05712891,2016-03-01,2016-03-02
Stoke,1711.29882812,2016-03-03,2016-03-05
Stoke,1715.95629883,2016-03-06,2016-03-09
Stoke,1713.39953613,2016-03-10,2016-03-10
Stoke,1709.1706543,2016-03-11,2016-03-12
Stoke,1699.77563477,2016-03-13,2016-03-15
Stoke,1699.85717773,2016-03-16,2016-03-16
Stoke,1699.71643066,2016-03-17,2016-03-17
Stoke,1698.35949707,2016-03-18,2016-03-19
Stoke,1706.34179688,2016-03-20,2016-04-01
Stoke,1706.34179688,2016-04-02,2016-04-02
Stoke,1703.40722656,2016-04-03,2016-04-03
Stoke,1703.40722656,2016-04-04,2016-04-06
Stoke,1705.02270508,2016-04-07,2016-04-07
Stoke,1706.36218262,2016-04-08,2016-04-08
Stoke,1706.36218262,2016-04-09,2016-04-10
Stoke,1697.56774902,2016-04-11,2016-04-11
Stoke,1697.56774902,2016-04-12,2016-04-12
Stoke,1700.14550781,2016-04-13,2016-04-14
Stoke,1703.7767334,2016-04-15,2016-04-15
Stoke,1703.7767334,2016-04-16,2016-04-16
Stoke,1703.7767334,2016-04-17,2016-04-17
Stoke,1703.7767334,2016-04-18,2016-04-18
Stoke,1691.9810791,2016-04-19,2016-04-21
Stoke,1691.9810791,2016-04-22,2016-04-23
Stoke,1685.73352051,2016-04-24,2016-04-24
Stoke,1685.73352051,2016-04-25,2016-04-25
Stoke,1685.73352051,2016-04-26,2016-04-26
Stoke,1686.06713867,2016-04-27,2016-04-28
Stoke,1684.68408203,2016-04-29,2016-04-30
Stoke,1681.77929688,2016-05-01,2016-05-04
Stoke,1680.47766113,2016-05-05,2016-05-05
Stoke,1687.87084961,2016-05-06,2016-05-07
Stoke,1679.77258301,2016-05-08,2016-05-08
Stoke,1679.77258301,2016-05-09,2016-05-11
Stoke,1679.77258301,2016-05-12,2016-05-14
Stoke,1679.77258301,2016-05-15,2016-05-15
Stoke,1687.95336914,2016-05-16,2016-05-18
Stoke,1684.28295898,2016-05-19,2016-07-26
Stoke,1684.28295898,2016-07-27,2016-07-28
Stoke,1683.14038086,2016-07-29,2016-08-04
Stoke,1684.58190918,2016-08-05,2016-08-12
