Club,Elo,From,To
Sunderland,1605.13244629,2015-08-07,2015-08-08
Sunderland,1596.54187012,2015-08-09,2015-08-15
Sunderland,1583.59777832,2015-08-16,2015-08-18
Sunderland,1584.99353027,2015-08-19,2015-08-20
Sunderland,1583.56567383,2015-08-21,2015-08-22
Sunderland,1585.0925293,2015-08-23,2015-08-26
Sunderland,1586.84301758,2015-08-27,2015-08-27
Sunderland,1581.92675781,2015-08-28,2015-08-29
Sunderland,1583.05993652,2015-08-30,2015-09-13
Sunderland,1577.37097168,2015-09-14,2015-09-15
Sunderland,1570.60229492,2015-09-16,2015-09-16
Sunderland,1567.52954102,2015-09-17,2015-09-17
Sunderland,1568.58068848,2015-09-18,2015-09-19
Sunderland,1558.92590332,2015-09-20,2015-09-26
Sunderland,1555.02575684,2015-09-27,2015-09-29
Sunderland,1548.52832031,2015-09-30,2015-09-30
Sunderland,1553.20617676,2015-10-01,2015-10-01
Sunderland,1551.68347168,2015-10-02,2015-10-03
Sunderland,1552.74182129,2015-10-04,2015-10-17
Sunderland,1547.21313477,2015-10-18,2015-10-20
Sunderland,1552.49975586,2015-10-21,2015-10-21
Sunderland,1555.03100586,2015-10-22,2015-10-22
Sunderland,1549.97387695,2015-10-23,2015-10-25
Sunderland,1563.06311035,2015-10-26,2015-11-01
Sunderland,1555.22485352,2015-11-02,2015-11-03
Sunderland,1561.29125977,2015-11-04,2015-11-04
Sunderland,1560.82592773,2015-11-05,2015-11-05
Sunderland,1563.9921875,2015-11-06,2015-11-07
Sunderland,1558.4810791,2015-11-08,2015-11-23
Sunderland,1570.43188477,2015-11-24,2015-11-24
Sunderland,1573.39245605,2015-11-25,2015-11-25
Sunderland,1569.69958496,2015-11-26,2015-11-26
Sunderland,1571.79980469,2015-11-27,2015-11-28
Sunderland,1586.53710938,2015-11-29,2015-12-05
Sunderland,1583.42114258,2015-12-06,2015-12-08
Sunderland,1583.58300781,2015-12-09,2015-12-09
Sunderland,1590.38623047,2015-12-10,2015-12-10
Sunderland,1591.22473145,2015-12-11,2015-12-12
Sunderland,1583.03137207,2015-12-13,2015-12-19
Sunderland,1579.29089355,2015-12-20,2015-12-26
Sunderland,1576.2677002,2015-12-27,2015-12-30
Sunderland,1570.81787109,2015-12-31,2016-01-02
Sunderland,1579.28710938,2016-01-03,2016-01-13
Sunderland,1595.40344238,2016-01-14,2016-01-16
Sunderland,1590.47497559,2016-01-17,2016-01-23
Sunderland,1589.49182129,2016-01-24,2016-02-02
Sunderland,1586.46240234,2016-02-03,2016-02-06
