Club,Elo,From,To
Swansea,1670.60827637,2015-08-07,2015-08-08
Swansea,1677.18688965,2015-08-09,2015-08-14
Swansea,1677.18688965,2015-08-15,2015-08-15
Swansea,1683.85461426,2015-08-16,2015-08-18
Swansea,1685.25036621,2015-08-19,2015-08-19
Swansea,1685.25036621,2015-08-20,2015-08-20
Swansea,1683.82250977,2015-08-21,2015-08-22
Swansea,1682.2956543,2015-08-23,2015-08-23
Swansea,1682.2956543,2015-08-24,2015-08-26
Swansea,1684.04626465,2015-08-27,2015-08-27
Swansea,1679.12988281,2015-08-28,2015-08-30
Swansea,1689.90844727,2015-08-31,2015-09-12
Swansea,1679.79699707,2015-09-13,2015-09-14
Swansea,1679.79699707,2015-09-15,2015-09-15
Swansea,1673.02819824,2015-09-16,2015-09-16
Swansea,1669.95544434,2015-09-17,2015-09-17
Swansea,1671.00671387,2015-09-18,2015-09-19
Swansea,1671.10107422,2015-09-20,2015-09-20
Swansea,1671.10107422,2015-09-21,2015-09-22
Swansea,1671.10107422,2015-09-23,2015-09-23
Swansea,1671.10107422,2015-09-24,2015-09-26
Swansea,1661.15966797,2015-09-27,2015-09-29
Swansea,1654.66210938,2015-09-30,2015-09-30
Swansea,1659.34008789,2015-10-01,2015-10-01
Swansea,1657.81726074,2015-10-02,2015-10-03
Swansea,1657.81726074,2015-10-04,2015-10-04
Swansea,1659.01171875,2015-10-05,2015-10-17
Swansea,1659.01171875,2015-10-18,2015-10-18
Swansea,1659.01171875,2015-10-19,2015-10-19
Swansea,1650.02819824,2015-10-20,2015-10-20
Swansea,1655.31469727,2015-10-21,2015-10-21
Swansea,1657.84606934,2015-10-22,2015-10-22
Swansea,1652.78881836,2015-10-23,2015-10-24
Swansea,1659.09411621,2015-10-25,2015-10-25
Swansea,1659.09411621,2015-10-26,2015-10-29
Swansea,1659.09411621,2015-10-30,2015-10-30
Swansea,1659.09411621,2015-10-31,2015-10-31
Swansea,1651.06762695,2015-11-01,2015-11-01
Swansea,1651.06762695,2015-11-02,2015-11-03
Swansea,1657.1340332,2015-11-04,2015-11-04
Swansea,1656.66870117,2015-11-05,2015-11-05
Swansea,1659.83496094,2015-11-06,2015-11-07
Swansea,1650.9552002,2015-11-08,2015-11-21
Swansea,1647.11755371,2015-11-22,2015-11-24
Swansea,1650.07800293,2015-11-25,2015-11-25
Swansea,1646.38513184,2015-11-26,2015-11-26
Swansea,1648.48535156,2015-11-27,2015-11-27
Swansea,1648.48535156,2015-11-28,2015-11-29
Swansea,1644.10339355,2015-11-30,2015-12-05
Swansea,1630.6081543,2015-12-06,2015-12-06
Swansea,1630.6081543,2015-12-07,2015-12-08
Swansea,1630.77001953,2015-12-09,2015-12-09
Swansea,1637.57324219,2015-12-10,2015-12-10
Swansea,1638.41174316,2015-12-11,2015-12-12
Swansea,1635.99414062,2015-12-13,2015-12-13
Swansea,1635.99414062,2015-12-14,2015-12-19
Swansea,1635.99414062,2015-12-20,2015-12-20
Swansea,1635.48034668,2015-12-21,2015-12-26
Swansea,1642.62731934,2015-12-27,2015-12-28
Swansea,1645.64135742,2015-12-29,2015-12-30
Swansea,1645.64135742,2015-12-31,2016-01-02
Swansea,1641.81799316,2016-01-03,2016-01-03
Swansea,1641.81799316,2016-01-04,2016-01-04
Swansea,1641.81799316,2016-01-05,2016-01-13
Swansea,1625.70166016,2016-01-14,2016-01-16
Swansea,1625.70166016,2016-01-17,2016-01-18
Swansea,1632.62365723,2016-01-19,2016-01-24
Swansea,1644.30114746,2016-01-25,2016-01-30
Swansea,1644.30114746,2016-01-31,2016-02-02
Swansea,1645.79821777,2016-02-03,2016-02-06
Swansea,1644.24047852,2016-02-07,2016-02-13
Swansea,1636.93493652,2016-02-14,2016-02-14
Swansea,1636.93493652,2016-02-15,2016-02-16
