Club,Elo,From,To
West Brom,1635.61828613,2015-08-07,2015-08-08
West Brom,1635.61828613,2015-08-09,2015-08-10
West Brom,1629.59790039,2015-08-11,2015-08-12
West Brom,1629.59790039,2015-08-13,2015-08-15
West Brom,1629.58349609,2015-08-16,2015-08-16
West Brom,1629.58349609,2015-08-17,2015-08-18
West Brom,1630.97924805,2015-08-19,2015-08-19
West Brom,1630.97924805,2015-08-20,2015-08-20
West Brom,1629.5513916,2015-08-21,2015-08-22
West Brom,1629.5513916,2015-08-23,2015-08-23
West Brom,1625.98352051,2015-08-24,2015-08-26
West Brom,1627.73413086,2015-08-27,2015-08-27
West Brom,1622.81774902,2015-08-28,2015-08-29
West Brom,1633.90478516,2015-08-30,2015-08-30
West Brom,1633.90478516,2015-08-31,2015-09-06
West Brom,1633.90478516,2015-09-07,2015-09-11
West Brom,1633.90478516,2015-09-12,2015-09-12
West Brom,1634.21362305,2015-09-13,2015-09-13
West Brom,1634.21362305,2015-09-14,2015-09-15
West Brom,1627.44494629,2015-09-16,2015-09-16
West Brom,1624.37219238,2015-09-17,2015-09-17
West Brom,1625.42333984,2015-09-18,2015-09-19
West Brom,1632.93408203,2015-09-20,2015-09-26
West Brom,1632.93408203,2015-09-27,2015-09-28
West Brom,1625.81750488,2015-09-29,2015-09-29
West Brom,1619.31994629,2015-09-30,2015-09-30
West Brom,1623.9979248,2015-10-01,2015-10-01
West Brom,1622.47509766,2015-10-02,2015-10-03
West Brom,1613.57751465,2015-10-04,2015-10-04
West Brom,1613.57751465,2015-10-05,2015-10-11
West Brom,1613.57751465,2015-10-12,2015-10-17
West Brom,1619.10620117,2015-10-18,2015-10-18
West Brom,1619.10620117,2015-10-19,2015-10-20
West Brom,1624.3927002,2015-10-21,2015-10-21
West Brom,1626.92407227,2015-10-22,2015-10-22
West Brom,1621.86682129,2015-10-23,2015-10-24
West Brom,1630.08374023,2015-10-25,2015-10-25
West Brom,1630.08374023,2015-10-26,2015-10-28
West Brom,1630.08374023,2015-10-29,2015-10-31
West Brom,1621.64990234,2015-11-01,2015-11-02
West Brom,1621.64990234,2015-11-03,2015-11-03
West Brom,1627.71630859,2015-11-04,2015-11-04
West Brom,1627.25097656,2015-11-05,2015-11-05
West Brom,1630.41723633,2015-11-06,2015-11-07
West Brom,1626.30639648,2015-11-08,2015-11-08
West Brom,1626.30639648,2015-11-09,2015-11-20
West Brom,1626.30639648,2015-11-21,2015-11-21
West Brom,1638.78735352,2015-11-22,2015-11-22
West Brom,1638.78735352,2015-11-23,2015-11-24
West Brom,1641.7479248,2015-11-25,2015-11-25
West Brom,1638.05505371,2015-11-26,2015-11-26
West Brom,1640.15527344,2015-11-27,2015-11-28
West Brom,1640.15527344,2015-11-29,2015-11-29
West Brom,1641.60229492,2015-11-30,2015-11-30
West Brom,1641.60229492,2015-12-01,2015-12-04
West Brom,1641.60229492,2015-12-05,2015-12-05
West Brom,1644.0604248,2015-12-06,2015-12-06
West Brom,1644.0604248,2015-12-07,2015-12-08
West Brom,1644.22229004,2015-12-09,2015-12-09
West Brom,1651.0255127,2015-12-10,2015-12-10
West Brom,1651.86401367,2015-12-11,2015-12-12
West Brom,1651.86401367,2015-12-13,2015-12-13
West Brom,1655.6953125,2015-12-14,2015-12-19
West Brom,1645.02160645,2015-12-20,2015-12-20
West Brom,1645.02160645,2015-12-21,2015-12-26
West Brom,1637.87463379,2015-12-27,2015-12-27
West Brom,1637.87463379,2015-12-28,2015-12-28
West Brom,1643.44213867,2015-12-29,2015-12-30
West Brom,1643.44213867,2015-12-31,2016-01-02
West Brom,1652.1973877,2016-01-03,2016-01-13
West Brom,1657.70129395,2016-01-14,2016-01-16
West Brom,1647.78063965,2016-01-17,2016-01-22
West Brom,1647.78063965,2016-01-23,2016-01-23
West Brom,1643.50683594,2016-01-24,2016-01-24
West Brom,1643.50683594,2016-01-25,2016-01-30
West Brom,1643.50683594,2016-01-31,2016-02-02
West Brom,1642.00976562,2016-02-03,2016-02-06
West Brom,1633.86328125,2016-02-07,2016-02-13
West Brom,1645.61169434,2016-02-14,2016-02-14
West Brom,1645.61169434,2016-02-15,2016-02-16
West Brom,1645.01208496,2016-02-17,2016-02-18
West Brom,1644.24926758,2016-02-19,2016-02-21
West Brom,1644.24926758,2016-02-22,2016-02-23
West Brom,1643.12231445,2016-02-24,2016-02-24
West Brom,1646.69970703,2016-02-25,2016-02-25
West Brom,1655.83203125,2016-02-26,2016-02-27
West Brom,1662.52209473,2016-02-28,2016-02-28
West Brom,1662.52209473,2016-02-29,2016-03-01
West Brom,1666.97546387,2016-03-02,2016-03-05
West Brom,1666.97546387,2016-03-06,2016-03-06
West Brom,1677.33703613,2016-03-07,2016-03-09
West Brom,1674.78027344,2016-03-10,2016-03-10
West Brom,1670.55126953,2016-03-11,2016-03-15
West Brom,1670.6328125,2016-03-16,2016-03-16
West Brom,1670.49206543,2016-03-17,2016-03-17
West Brom,1669.13513184,2016-03-18,2016-03-19
West Brom,1657.43359375,2016-03-20,2016-03-20
West Brom,1657.43359375,2016-03-21,2016-04-02
West Brom,1657.3840332,2016-04-03,2016-04-03
West Brom,1657.3840332,2016-04-04,2016-04-04
West Brom,1657.3840332,2016-04-05,2016-04-06
West Brom,1658.99938965,2016-04-07,2016-04-07
West Brom,1660.33886719,2016-04-08,2016-04-09
West Brom,1657.32385254,2016-04-10,2016-04-12
West Brom,1659.90161133,2016-04-13,2016-04-13
West Brom,1659.90161133,2016-04-14,2016-04-14
West Brom,1663.53283691,2016-04-15,2016-04-16
West Brom,1653.24243164,2016-04-17,2016-04-17
West Brom,1653.24243164,2016-04-18,2016-04-18
West Brom,1653.24243164,2016-04-19,2016-04-21
West Brom,1648.95483398,2016-04-22,2016-04-23
West Brom,1648.95483398,2016-04-24,2016-04-24
West Brom,1648.95483398,2016-04-25,2016-04-25
West Brom,1655.0057373,2016-04-26,2016-04-26
West Brom,1655.3392334,2016-04-27,2016-04-27
West Brom,1655.3392334,2016-04-28,2016-04-28
West Brom,1653.95629883,2016-04-29,2016-04-30
West Brom,1641.16137695,2016-05-01,2016-05-04
West Brom,1639.85974121,2016-05-05,2016-05-05
West Brom,1647.25292969,2016-05-06,2016-05-07
West Brom,1648.24060059,2016-05-08,2016-05-08
West Brom,1648.24060059,2016-05-09,2016-05-11
West Brom,1648.24060059,2016-05-12,2016-05-14
West Brom,1648.24060059,2016-05-15,2016-05-15
West Brom,1651.61987305,2016-05-16,2016-05-18
