Club,Elo,From,To
Arsenal,1851.22998047,2015-08-07,2015-08-09
Arsenal,1829.77307129,2015-08-10,2015-08-16
Arsenal,1834.76367188,2015-08-17,2015-08-18
Arsenal,1836.15942383,2015-08-19,2015-08-20
Arsenal,1834.73156738,2015-08-21,2015-08-24
Arsenal,1831.47180176,2015-08-25,2015-08-26
Arsenal,1833.22241211,2015-08-27,2015-08-27
Arsenal,1828.30615234,2015-08-28,2015-08-28
Arsenal,1828.30615234,2015-08-29,2015-08-29
Arsenal,1831.8223877,2015-08-30,2015-09-12
Arsenal,1837.03979492,2015-09-13,2015-09-15
Arsenal,1830.27099609,2015-09-16,2015-09-16
Arsenal,1815.27587891,2015-09-17,2015-09-17
Arsenal,1816.32702637,2015-09-18,2015-09-19
Arsenal,1807.21350098,2015-09-20,2015-09-23
Arsenal,1807.21350098,2015-09-24,2015-09-26
Arsenal,1816.03344727,2015-09-27,2015-09-29
Arsenal,1796.1439209,2015-09-30,2015-09-30
Arsenal,1800.82177734,2015-10-01,2015-10-01
Arsenal,1799.29907227,2015-10-02,2015-10-03
Arsenal,1799.29907227,2015-10-04,2015-10-04
Arsenal,1811.7088623,2015-10-05,2015-10-17
Arsenal,1817.81420898,2015-10-18,2015-10-20
Arsenal,1838.7565918,2015-10-21,2015-10-21
Arsenal,1841.2878418,2015-10-22,2015-10-22
Arsenal,1836.23071289,2015-10-23,2015-10-24
Arsenal,1840.30737305,2015-10-25,2015-10-31
Arsenal,1848.3338623,2015-11-01,2015-11-03
Arsenal,1854.40026855,2015-11-04,2015-11-04
Arsenal,1847.4317627,2015-11-05,2015-11-05
Arsenal,1850.59814453,2015-11-06,2015-11-07
Arsenal,1850.59814453,2015-11-08,2015-11-08
Arsenal,1846.77893066,2015-11-09,2015-11-21
Arsenal,1834.29797363,2015-11-22,2015-11-24
Arsenal,1840.04638672,2015-11-25,2015-11-25
Arsenal,1836.35351562,2015-11-26,2015-11-26
Arsenal,1838.45373535,2015-11-27,2015-11-29
Arsenal,1833.2064209,2015-11-30,2015-11-30
Arsenal,1833.2064209,2015-12-01,2015-12-05
Arsenal,1836.3223877,2015-12-06,2015-12-08
Arsenal,1836.48425293,2015-12-09,2015-12-09
Arsenal,1855.82727051,2015-12-10,2015-12-10
Arsenal,1856.66577148,2015-12-11,2015-12-13
Arsenal,1860.11206055,2015-12-14,2015-12-21
Arsenal,1867.07055664,2015-12-22,2015-12-26
Arsenal,1843.87670898,2015-12-27,2015-12-28
Arsenal,1846.94360352,2015-12-29,2016-01-02
Arsenal,1848.82092285,2016-01-03,2016-01-13
Arsenal,1847.0333252,2016-01-14,2016-01-17
Arsenal,1844.91662598,2016-01-18,2016-01-24
