Club,Elo,From,To
Brighton,1435.19750977,2015-08-08,2015-08-15
Brighton,1444.45593262,2015-08-16,2015-08-18
Brighton,1446.22692871,2015-08-19,2015-08-20
Brighton,1444.79907227,2015-08-21,2015-08-22
Brighton,1452.9921875,2015-08-23,2015-08-26
Brighton,1454.74279785,2015-08-27,2015-08-27
Brighton,1449.82653809,2015-08-28,2015-08-29
Brighton,1461.30566406,2015-08-30,2015-09-12
Brighton,1471.4276123,2015-09-13,2015-09-15
Brighton,1468.90454102,2015-09-16,2015-09-16
Brighton,1465.83190918,2015-09-17,2015-09-17
Brighton,1466.88305664,2015-09-18,2015-09-19
Brighton,1468.5045166,2015-09-20,2015-09-26
Brighton,1467.84545898,2015-09-27,2015-09-29
Brighton,1461.34802246,2015-09-30,2015-09-30
Brighton,1466.02587891,2015-10-01,2015-10-01
Brighton,1464.50317383,2015-10-02,2015-10-03
Brighton,1463.2565918,2015-10-04,2015-10-17
Brighton,1471.05603027,2015-10-18,2015-10-20
Brighton,1480.35864258,2015-10-21,2015-10-21
Brighton,1482.89001465,2015-10-22,2015-10-22
Brighton,1477.83276367,2015-10-23,2015-10-24
Brighton,1473.47973633,2015-10-25,2015-10-31
Brighton,1473.93884277,2015-11-01,2015-11-03
Brighton,1480.72277832,2015-11-04,2015-11-04
Brighton,1480.25744629,2015-11-05,2015-11-05
Brighton,1483.42370605,2015-11-06,2015-11-07
Brighton,1487.52600098,2015-11-08,2015-11-22
Brighton,1491.14453125,2015-11-23,2015-11-24
Brighton,1494.10510254,2015-11-25,2015-11-25
Brighton,1490.41223145,2015-11-26,2015-11-26
Brighton,1492.51245117,2015-11-27,2015-11-28
Brighton,1499.12414551,2015-11-29,2015-12-05
Brighton,1503.58300781,2015-12-06,2015-12-08
Brighton,1503.74487305,2015-12-09,2015-12-09
Brighton,1510.54797363,2015-12-10,2015-12-10
Brighton,1511.38659668,2015-12-11,2015-12-12
Brighton,1514.31872559,2015-12-13,2015-12-15
Brighton,1515.28027344,2015-12-16,2015-12-19
Brighton,1502.27172852,2015-12-20,2015-12-26
Brighton,1503.11376953,2015-12-27,2015-12-29
Brighton,1493.84838867,2015-12-30,2016-01-01
Brighton,1483.98803711,2016-01-02,2016-01-12
Brighton,1470.27514648,2016-01-13,2016-01-16
Brighton,1479.96569824,2016-01-17,2016-01-23
Brighton,1485.52819824,2016-01-24,2016-02-05
Brighton,1496.91760254,2016-02-06,2016-02-13
Brighton,1500.98156738,2016-02-14,2016-02-16
Brighton,1504.29125977,2016-02-17,2016-02-18
Brighton,1503.52844238,2016-02-19,2016-02-20
Brighton,1490.62768555,2016-02-21,2016-02-23
Brighton,1502.78076172,2016-02-24,2016-02-24
Brighton,1506.35803223,2016-02-25,2016-02-25
Brighton,1515.49047852,2016-02-26,2016-02-29
Brighton,1525.86865234,2016-03-01,2016-03-05
Brighton,1525.52404785,2016-03-06,2016-03-08
Brighton,1523.66809082,2016-03-09,2016-03-09
Brighton,1521.1114502,2016-03-10,2016-03-10
Brighton,1516.88244629,2016-03-11,2016-03-15
Brighton,1521.6920166,2016-03-16,2016-03-16
Brighton,1521.55126953,2016-03-17,2016-03-17
Brighton,1520.19421387,2016-03-18,2016-03-19
Brighton,1526.32714844,2016-03-20,2016-04-02
Brighton,1527.3112793,2016-04-03,2016-04-05
Brighton,1535.40075684,2016-04-06,2016-04-06
Brighton,1537.01623535,2016-04-07,2016-04-07
Brighton,1538.35571289,2016-04-08,2016-04-11
Brighton,1544.88330078,2016-04-12,2016-04-12
Brighton,1547.46105957,2016-04-13,2016-04-14
Brighton,1551.09228516,2016-04-15,2016-04-15
Brighton,1560.77893066,2016-04-16,2016-04-19
Brighton,1572.27160645,2016-04-20,2016-04-23
Brighton,1578.86328125,2016-04-24,2016-04-26
Brighton,1579.19689941,2016-04-27,2016-04-28
Brighton,1577.81384277,2016-04-29,2016-05-02
Brighton,1575.80615234,2016-05-03,2016-05-04
Brighton,1574.5045166,2016-05-05,2016-05-05
Brighton,1581.89770508,2016-05-06,2016-05-07
Brighton,1583.92126465,2016-05-08,2016-05-13
Brighton,1570.94995117,2016-05-14,2016-05-16
Brighton,1566.17297363,2016-05-17,2016-05-18
Brighton,1562.50256348,2016-05-19,2016-07-28
Brighton,1561.35998535,2016-07-29,2016-08-04
Brighton,1562.80163574,2016-08-05,2016-08-06
Brighton,1563.77770996,2016-08-07,2016-08-12
Brighton,1570.90539551,2016-08-13,2016-08-16
Brighton,1577.82763672,2016-08-17,2016-08-18
Brighton,1577.82385254,2016-08-19,2016-08-20
Brighton,1574.69274902,2016-08-21,2016-08-24
Brighton,1574.70837402,2016-08-25,2016-08-25
Brighton,1567.62145996,2016-08-26,2016-08-27
Brighton,1559.67883301,2016-08-28,2016-09-10
Brighton,1543.7142334,2016-09-11,2016-09-13
Brighton,1549.78942871,2016-09-14,2016-09-14
Brighton,1551.85327148,2016-09-15,2016-09-15
