Club,Elo,From,To
Chelsea,1890.96289062,2015-08-07,2015-08-08
Chelsea,1884.38427734,2015-08-09,2015-08-10
Chelsea,1884.38427734,2015-08-11,2015-08-16
Chelsea,1872.78820801,2015-08-17,2015-08-18
Chelsea,1874.18395996,2015-08-19,2015-08-20
Chelsea,1872.75610352,2015-08-21,2015-08-23
Chelsea,1876.32397461,2015-08-24,2015-08-26
Chelsea,1878.07446289,2015-08-27,2015-08-27
Chelsea,1873.15820312,2015-08-28,2015-08-29
Chelsea,1858.87255859,2015-08-30,2015-09-12
Chelsea,1843.39880371,2015-09-13,2015-09-15
Chelsea,1836.63012695,2015-09-16,2015-09-16
Chelsea,1836.05236816,2015-09-17,2015-09-17
Chelsea,1837.1036377,2015-09-18,2015-09-19
Chelsea,1846.21716309,2015-09-20,2015-09-20
Chelsea,1846.21716309,2015-09-21,2015-09-23
Chelsea,1846.21716309,2015-09-24,2015-09-26
Chelsea,1840.13562012,2015-09-27,2015-09-27
Chelsea,1840.13562012,2015-09-28,2015-09-29
Chelsea,1827.0135498,2015-09-30,2015-09-30
Chelsea,1831.69152832,2015-10-01,2015-10-01
Chelsea,1830.16870117,2015-10-02,2015-10-03
Chelsea,1812.01538086,2015-10-04,2015-10-04
Chelsea,1812.01538086,2015-10-05,2015-10-17
Chelsea,1814.70983887,2015-10-18,2015-10-20
Chelsea,1820.71118164,2015-10-21,2015-10-21
Chelsea,1823.24255371,2015-10-22,2015-10-22
Chelsea,1818.18530273,2015-10-23,2015-10-24
Chelsea,1806.77233887,2015-10-25,2015-10-25
Chelsea,1806.77233887,2015-10-26,2015-10-30
Chelsea,1806.77233887,2015-10-31,2015-10-31
Chelsea,1790.55895996,2015-11-01,2015-11-01
Chelsea,1790.55895996,2015-11-02,2015-11-03
Chelsea,1796.62536621,2015-11-04,2015-11-04
Chelsea,1801.203125,2015-11-05,2015-11-05
Chelsea,1804.36950684,2015-11-06,2015-11-07
Chelsea,1793.94396973,2015-11-08,2015-11-08
Chelsea,1793.94396973,2015-11-09,2015-11-21
Chelsea,1796.71044922,2015-11-22,2015-11-22
Chelsea,1796.71044922,2015-11-23,2015-11-24
Chelsea,1806.17297363,2015-11-25,2015-11-25
Chelsea,1802.48010254,2015-11-26,2015-11-26
Chelsea,1804.58032227,2015-11-27,2015-11-29
Chelsea,1804.90722656,2015-11-30,2015-12-02
Chelsea,1804.90722656,2015-12-03,2015-12-05
Chelsea,1790.44006348,2015-12-06,2015-12-08
Chelsea,1790.60192871,2015-12-09,2015-12-09
Chelsea,1806.4831543,2015-12-10,2015-12-10
Chelsea,1807.32177734,2015-12-11,2015-12-12
Chelsea,1807.32177734,2015-12-13,2015-12-14
Chelsea,1797.96789551,2015-12-15,2015-12-19
Chelsea,1801.70837402,2015-12-20,2015-12-26
Chelsea,1796.64416504,2015-12-27,2015-12-28
Chelsea,1797.78210449,2015-12-29,2015-12-31
Chelsea,1797.78210449,2016-01-01,2016-01-02
Chelsea,1797.78210449,2016-01-03,2016-01-03
Chelsea,1809.92041016,2016-01-04,2016-01-13
Chelsea,1804.41662598,2016-01-14,2016-01-16
Chelsea,1800.62158203,2016-01-17,2016-01-24
Chelsea,1811.33654785,2016-01-25,2016-02-03
Chelsea,1808.0111084,2016-02-04,2016-02-05
Chelsea,1808.0111084,2016-02-06,2016-02-07
Chelsea,1805.90270996,2016-02-08,2016-02-12
Chelsea,1805.90270996,2016-02-13,2016-02-13
Chelsea,1810.91699219,2016-02-14,2016-02-14
Chelsea,1810.91699219,2016-02-15,2016-02-16
Chelsea,1808.46191406,2016-02-17,2016-02-18
