Club,Elo,From,To
Leicester,1633.62438965,2015-08-07,2015-08-08
Leicester,1642.21484375,2015-08-09,2015-08-14
Leicester,1642.21484375,2015-08-15,2015-08-15
Leicester,1650.97766113,2015-08-16,2015-08-18
Leicester,1652.37341309,2015-08-19,2015-08-19
Leicester,1652.37341309,2015-08-20,2015-08-20
Leicester,1650.94555664,2015-08-21,2015-08-22
Leicester,1651.68444824,2015-08-23,2015-08-26
Leicester,1653.43493652,2015-08-27,2015-08-27
Leicester,1648.51867676,2015-08-28,2015-08-28
Leicester,1648.51867676,2015-08-29,2015-08-29
Leicester,1648.12133789,2015-08-30,2015-08-30
Leicester,1648.12133789,2015-08-31,2015-09-12
Leicester,1648.12133789,2015-09-13,2015-09-13
Leicester,1653.22485352,2015-09-14,2015-09-15
Leicester,1646.45605469,2015-09-16,2015-09-16
Leicester,1643.38330078,2015-09-17,2015-09-17
Leicester,1644.43457031,2015-09-18,2015-09-19
Leicester,1646.1920166,2015-09-20,2015-09-20
Leicester,1646.1920166,2015-09-21,2015-09-23
Leicester,1646.1920166,2015-09-24,2015-09-26
Leicester,1637.37219238,2015-09-27,2015-09-29
Leicester,1630.87463379,2015-09-30,2015-09-30
Leicester,1635.5526123,2015-10-01,2015-10-01
Leicester,1634.02978516,2015-10-02,2015-10-02
Leicester,1634.02978516,2015-10-03,2015-10-03
Leicester,1642.32373047,2015-10-04,2015-10-04
Leicester,1642.32373047,2015-10-05,2015-10-10
Leicester,1642.32373047,2015-10-11,2015-10-17
Leicester,1644.97253418,2015-10-18,2015-10-20
Leicester,1650.25915527,2015-10-21,2015-10-21
Leicester,1652.79052734,2015-10-22,2015-10-22
Leicester,1647.73327637,2015-10-23,2015-10-24
Leicester,1654.74951172,2015-10-25,2015-10-28
Leicester,1654.74951172,2015-10-29,2015-10-31
Leicester,1663.18334961,2015-11-01,2015-11-01
Leicester,1663.18334961,2015-11-02,2015-11-03
Leicester,1669.24975586,2015-11-04,2015-11-04
Leicester,1668.78442383,2015-11-05,2015-11-05
Leicester,1671.95080566,2015-11-06,2015-11-07
Leicester,1677.25915527,2015-11-08,2015-11-08
Leicester,1677.25915527,2015-11-09,2015-11-21
Leicester,1688.7857666,2015-11-22,2015-11-22
Leicester,1688.7857666,2015-11-23,2015-11-24
Leicester,1691.74633789,2015-11-25,2015-11-25
Leicester,1688.0534668,2015-11-26,2015-11-26
Leicester,1690.15368652,2015-11-27,2015-11-27
Leicester,1690.15368652,2015-11-28,2015-11-28
Leicester,1692.92797852,2015-11-29,2015-12-05
Leicester,1706.42321777,2015-12-06,2015-12-07
Leicester,1706.42321777,2015-12-08,2015-12-08
Leicester,1706.58520508,2015-12-09,2015-12-09
Leicester,1713.38830566,2015-12-10,2015-12-10
Leicester,1714.22692871,2015-12-11,2015-12-14
Leicester,1723.58081055,2015-12-15,2015-12-19
Leicester,1732.60229492,2015-12-20,2015-12-20
Leicester,1732.60229492,2015-12-21,2015-12-26
Leicester,1725.7322998,2015-12-27,2015-12-29
Leicester,1728.12817383,2015-12-30,2016-01-02
Leicester,1723.48937988,2016-01-03,2016-01-09
Leicester,1723.48937988,2016-01-10,2016-01-13
Leicester,1734.80029297,2016-01-14,2016-01-16
Leicester,1731.04992676,2016-01-17,2016-01-23
Leicester,1741.9979248,2016-01-24,2016-01-31
Leicester,1741.9979248,2016-02-01,2016-02-02
Leicester,1750.91186523,2016-02-03,2016-02-06
Leicester,1768.1730957,2016-02-07,2016-02-07
Leicester,1768.1730957,2016-02-08,2016-02-12
Leicester,1768.1730957,2016-02-13,2016-02-14
Leicester,1763.0201416,2016-02-15,2016-02-16
Leicester,1762.4206543,2016-02-17,2016-02-17
Leicester,1762.4206543,2016-02-18,2016-02-18
Leicester,1761.65783691,2016-02-19,2016-02-21
Leicester,1761.65783691,2016-02-22,2016-02-23
Leicester,1760.53088379,2016-02-24,2016-02-24
Leicester,1764.1081543,2016-02-25,2016-02-25
Leicester,1773.24060059,2016-02-26,2016-02-27
Leicester,1776.16271973,2016-02-28,2016-02-28
Leicester,1776.16271973,2016-02-29,2016-03-01
Leicester,1771.70935059,2016-03-02,2016-03-05
Leicester,1778.10058594,2016-03-06,2016-03-09
Leicester,1775.54394531,2016-03-10,2016-03-10
Leicester,1771.31494141,2016-03-11,2016-03-14
Leicester,1773.97875977,2016-03-15,2016-03-15
Leicester,1774.06018066,2016-03-16,2016-03-16
Leicester,1773.91943359,2016-03-17,2016-03-17
Leicester,1772.5625,2016-03-18,2016-03-19
Leicester,1778.2923584,2016-03-20,2016-03-20
Leicester,1778.2923584,2016-03-21,2016-04-02
Leicester,1778.2923584,2016-04-03,2016-04-03
Leicester,1784.01342773,2016-04-04,2016-04-06
Leicester,1785.62890625,2016-04-07,2016-04-07
Leicester,1786.96826172,2016-04-08,2016-04-09
Leicester,1786.96826172,2016-04-10,2016-04-10
Leicester,1793.92492676,2016-04-11,2016-04-12
Leicester,1796.50268555,2016-04-13,2016-04-14
Leicester,1800.13391113,2016-04-15,2016-04-17
Leicester,1796.59838867,2016-04-18,2016-04-23
Leicester,1796.59838867,2016-04-24,2016-04-24
Leicester,1804.41479492,2016-04-25,2016-04-25
Leicester,1804.41479492,2016-04-26,2016-04-26
Leicester,1804.74841309,2016-04-27,2016-04-28
Leicester,1803.36535645,2016-04-29,2016-05-01
Leicester,1804.34082031,2016-05-02,2016-05-04
Leicester,1803.0390625,2016-05-05,2016-05-05
Leicester,1810.43225098,2016-05-06,2016-05-07
Leicester,1816.81848145,2016-05-08,2016-05-08
Leicester,1816.81848145,2016-05-09,2016-05-15
Leicester,1817.80517578,2016-05-16,2016-05-18
Leicester,1814.13464355,2016-05-19,2016-07-28
Leicester,1812.9921875,2016-07-29,2016-08-04
Leicester,1814.43371582,2016-08-05,2016-08-13
Leicester,1802.18322754,2016-08-14,2016-08-16
Leicester,1803.46972656,2016-08-17,2016-08-17
Leicester,1803.46972656,2016-08-18,2016-08-18
Leicester,1803.46594238,2016-08-19,2016-08-19
Leicester,1803.46594238,2016-08-20,2016-08-20
Leicester,1802.58691406,2016-08-21,2016-08-23
Leicester,1802.58691406,2016-08-24,2016-08-24
Leicester,1802.60253906,2016-08-25,2016-08-25
Leicester,1795.515625,2016-08-26,2016-08-27
Leicester,1799.53955078,2016-08-28,2016-09-10
Leicester,1788.19482422,2016-09-11,2016-09-13
Leicester,1789.35070801,2016-09-14,2016-09-14
Leicester,1801.83300781,2016-09-15,2016-09-15
Leicester,1800.16503906,2016-09-16,2016-09-16
Leicester,1800.16503906,2016-09-17,2016-09-17
Leicester,1805.85766602,2016-09-18,2016-09-24
Leicester,1792.93371582,2016-09-25,2016-09-27
Leicester,1802.20043945,2016-09-28,2016-09-28
Leicester,1801.42175293,2016-09-29,2016-09-29
Leicester,1800.84924316,2016-09-30,2016-10-01
Leicester,1800.84924316,2016-10-02,2016-10-02
Leicester,1798.60327148,2016-10-03,2016-10-15
Leicester,1787.23706055,2016-10-16,2016-10-16
Leicester,1787.23706055,2016-10-17,2016-10-17
Leicester,1787.23706055,2016-10-18,2016-10-18
Leicester,1791.35949707,2016-10-19,2016-10-19
Leicester,1790.47814941,2016-10-20,2016-10-20
Leicester,1789.17553711,2016-10-21,2016-10-22
Leicester,1794.1607666,2016-10-23,2016-10-29
Leicester,1796.70117188,2016-10-30,2016-11-01
Leicester,1802.06030273,2016-11-02,2016-11-02
Leicester,1795.48449707,2016-11-03,2016-11-03
Leicester,1793.66308594,2016-11-04,2016-11-06
Leicester,1780.50524902,2016-11-07,2016-11-19
Leicester,1770.30297852,2016-11-20,2016-11-20
Leicester,1770.30297852,2016-11-21,2016-11-22
Leicester,1772.07373047,2016-11-23,2016-11-23
Leicester,1770.97888184,2016-11-24,2016-11-24
Leicester,1769.76989746,2016-11-25,2016-11-26
Leicester,1764.17468262,2016-11-27,2016-11-27
Leicester,1764.17468262,2016-11-28,2016-12-03
Leicester,1753.71337891,2016-12-04,2016-12-06
Leicester,1754.17224121,2016-12-07,2016-12-07
Leicester,1737.65869141,2016-12-08,2016-12-08
Leicester,1737.9309082,2016-12-09,2016-12-10
Leicester,1751.34362793,2016-12-11,2016-12-12
Leicester,1751.34362793,2016-12-13,2016-12-13
Leicester,1741.98376465,2016-12-14,2016-12-17
Leicester,1741.95007324,2016-12-18,2016-12-26
Leicester,1726.33789062,2016-12-27,2016-12-28
Leicester,1726.33789062,2016-12-29,2016-12-31
Leicester,1731.60107422,2017-01-01,2017-01-02
Leicester,1729.7154541,2017-01-03,2017-01-08
Leicester,1729.7154541,2017-01-09,2017-01-14
Leicester,1719.20544434,2017-01-15,2017-01-15
Leicester,1719.20544434,2017-01-16,2017-01-22
Leicester,1707.16723633,2017-01-23,2017-01-27
Leicester,1707.16723633,2017-01-28,2017-01-28
Leicester,1707.16723633,2017-01-29,2017-01-29
Leicester,1707.16723633,2017-01-30,2017-01-30
Leicester,1707.16723633,2017-01-31,2017-01-31
Leicester,1699.12072754,2017-02-01,2017-02-04
Leicester,1699.12072754,2017-02-05,2017-02-05
Leicester,1686.7166748,2017-02-06,2017-02-08
Leicester,1686.7166748,2017-02-09,2017-02-10
Leicester,1686.7166748,2017-02-11,2017-02-12
Leicester,1675.50048828,2017-02-13,2017-02-13
Leicester,1675.50048828,2017-02-14,2017-02-14
Leicester,1675.50048828,2017-02-15,2017-02-15
Leicester,1672.66320801,2017-02-16,2017-02-16
Leicester,1673.77087402,2017-02-17,2017-02-18
Leicester,1673.77087402,2017-02-19,2017-02-19
Leicester,1673.77087402,2017-02-20,2017-02-20
Leicester,1673.77087402,2017-02-21,2017-02-21
Leicester,1676.09326172,2017-02-22,2017-02-22
Leicester,1676.4185791,2017-02-23,2017-02-23
Leicester,1671.34521484,2017-02-24,2017-02-24
Leicester,1671.34521484,2017-02-25,2017-02-25
Leicester,1671.34521484,2017-02-26,2017-02-26
Leicester,1671.34521484,2017-02-27,2017-02-27
Leicester,1685.53710938,2017-02-28,2017-03-04
Leicester,1691.17016602,2017-03-05,2017-03-05
Leicester,1691.17016602,2017-03-06,2017-03-07
Leicester,1690.17822266,2017-03-08,2017-03-08
Leicester,1690.17822266,2017-03-09,2017-03-09
Leicester,1690.68884277,2017-03-10,2017-03-11
Leicester,1690.68884277,2017-03-12,2017-03-13
Leicester,1690.68884277,2017-03-14,2017-03-14
Leicester,1716.00476074,2017-03-15,2017-03-15
Leicester,1710.91809082,2017-03-16,2017-03-16
Leicester,1712.40979004,2017-03-17,2017-03-18
Leicester,1720.99353027,2017-03-19,2017-03-19
Leicester,1720.99353027,2017-03-20,2017-03-31
Leicester,1720.99353027,2017-04-01,2017-04-01
Leicester,1728.53088379,2017-04-02,2017-04-04
Leicester,1733.01196289,2017-04-05,2017-04-08
Leicester,1733.01196289,2017-04-09,2017-04-09
Leicester,1725.43237305,2017-04-10,2017-04-12
