Club,Elo,From,To
Man United,1810.33825684,2015-08-07,2015-08-08
Man United,1815.11291504,2015-08-09,2015-08-14
Man United,1819.0078125,2015-08-15,2015-08-18
Man United,1824.66784668,2015-08-19,2015-08-20
Man United,1823.23999023,2015-08-21,2015-08-22
Man United,1816.45776367,2015-08-23,2015-08-26
Man United,1823.5637207,2015-08-27,2015-08-27
Man United,1818.64746094,2015-08-28,2015-08-30
Man United,1807.86889648,2015-08-31,2015-09-12
Man United,1815.48754883,2015-09-13,2015-09-15
Man United,1799.02905273,2015-09-16,2015-09-16
Man United,1795.95629883,2015-09-17,2015-09-17
Man United,1797.00756836,2015-09-18,2015-09-20
Man United,1803.0682373,2015-09-21,2015-09-23
Man United,1803.0682373,2015-09-24,2015-09-26
Man United,1806.96838379,2015-09-27,2015-09-29
Man United,1800.4708252,2015-09-30,2015-09-30
Man United,1811.78869629,2015-10-01,2015-10-01
Man United,1810.26586914,2015-10-02,2015-10-03
Man United,1810.26586914,2015-10-04,2015-10-04
Man United,1797.8560791,2015-10-05,2015-10-17
Man United,1810.27490234,2015-10-18,2015-10-18
Man United,1810.27490234,2015-10-19,2015-10-20
Man United,1815.56140137,2015-10-21,2015-10-21
Man United,1820.22497559,2015-10-22,2015-10-22
Man United,1815.16772461,2015-10-23,2015-10-24
Man United,1815.16772461,2015-10-25,2015-10-25
Man United,1815.71142578,2015-10-26,2015-10-31
Man United,1812.18273926,2015-11-01,2015-11-03
Man United,1824.18481445,2015-11-04,2015-11-04
Man United,1823.71948242,2015-11-05,2015-11-05
Man United,1826.88586426,2015-11-06,2015-11-07
Man United,1830.9967041,2015-11-08,2015-11-20
Man United,1830.9967041,2015-11-21,2015-11-21
Man United,1834.78759766,2015-11-22,2015-11-24
Man United,1837.74816895,2015-11-25,2015-11-25
Man United,1827.95056152,2015-11-26,2015-11-26
Man United,1830.05078125,2015-11-27,2015-11-28
Man United,1827.27648926,2015-11-29,2015-11-29
Man United,1827.27648926,2015-11-30,2015-12-05
Man United,1821.58056641,2015-12-06,2015-12-06
Man United,1821.58056641,2015-12-07,2015-12-08
Man United,1815.12243652,2015-12-09,2015-12-09
Man United,1821.92565918,2015-12-10,2015-12-10
Man United,1822.76416016,2015-12-11,2015-12-12
Man United,1809.99047852,2015-12-13,2015-12-19
Man United,1795.89929199,2015-12-20,2015-12-26
Man United,1782.09472656,2015-12-27,2015-12-28
Man United,1780.95690918,2015-12-29,2015-12-30
Man United,1780.95690918,2015-12-31,2016-01-02
Man United,1784.78015137,2016-01-03,2016-01-06
Man United,1784.78015137,2016-01-07,2016-01-09
Man United,1784.78015137,2016-01-10,2016-01-12
Man United,1780.83984375,2016-01-13,2016-01-17
Man United,1789.19433594,2016-01-18,2016-01-23
Man United,1777.55847168,2016-01-24,2016-01-29
Man United,1777.55847168,2016-01-30,2016-01-31
Man United,1777.55847168,2016-02-01,2016-02-02
Man United,1786.41723633,2016-02-03,2016-02-07
Man United,1788.52563477,2016-02-08,2016-02-13
Man United,1776.71679688,2016-02-14,2016-02-14
Man United,1776.71679688,2016-02-15,2016-02-16
Man United,1776.11730957,2016-02-17,2016-02-18
Man United,1770.44152832,2016-02-19,2016-02-23
Man United,1769.3145752,2016-02-24,2016-02-24
Man United,1772.89196777,2016-02-25,2016-02-25
Man United,1790.65063477,2016-02-26,2016-02-28
Man United,1798.89111328,2016-02-29,2016-03-02
Man United,1802.51977539,2016-03-03,2016-03-05
Man United,1802.51977539,2016-03-06,2016-03-06
Man United,1792.1583252,2016-03-07,2016-03-09
Man United,1789.6015625,2016-03-10,2016-03-10
Man United,1774.01635742,2016-03-11,2016-03-11
Man United,1774.01635742,2016-03-12,2016-03-12
Man United,1774.01635742,2016-03-13,2016-03-13
Man United,1774.01635742,2016-03-14,2016-03-15
Man United,1774.09790039,2016-03-16,2016-03-16
Man United,1773.95715332,2016-03-17,2016-03-17
Man United,1768.0390625,2016-03-18,2016-03-20
Man United,1779.24621582,2016-03-21,2016-04-03
Man United,1784.40991211,2016-04-04,2016-04-06
Man United,1786.02526855,2016-04-07,2016-04-07
Man United,1787.36474609,2016-04-08,2016-04-09
Man United,1787.36474609,2016-04-10,2016-04-10
Man United,1776.97497559,2016-04-11,2016-04-12
Man United,1779.55273438,2016-04-13,2016-04-14
Man United,1783.18395996,2016-04-15,2016-04-16
Man United,1785.11950684,2016-04-17,2016-04-20
Man United,1790.65332031,2016-04-21,2016-04-23
Man United,1790.65332031,2016-04-24,2016-04-24
Man United,1790.65332031,2016-04-25,2016-04-26
Man United,1790.98681641,2016-04-27,2016-04-28
Man United,1789.60388184,2016-04-29,2016-05-01
Man United,1788.62841797,2016-05-02,2016-05-02
Man United,1788.62841797,2016-05-03,2016-05-04
Man United,1787.32666016,2016-05-05,2016-05-05
Man United,1794.7199707,2016-05-06,2016-05-07
Man United,1798.97680664,2016-05-08,2016-05-10
Man United,1790.26623535,2016-05-11,2016-05-17
Man United,1794.88830566,2016-05-18,2016-05-18
Man United,1791.21789551,2016-05-19,2016-07-28
Man United,1790.07531738,2016-07-29,2016-08-04
Man United,1791.51696777,2016-08-05,2016-08-14
Man United,1798.98706055,2016-08-15,2016-08-15
Man United,1798.98706055,2016-08-16,2016-08-16
Man United,1800.2734375,2016-08-17,2016-08-17
Man United,1800.2734375,2016-08-18,2016-08-18
Man United,1800.26965332,2016-08-19,2016-08-19
Man United,1808.75817871,2016-08-20,2016-08-23
Man United,1808.75817871,2016-08-24,2016-08-24
Man United,1808.77380371,2016-08-25,2016-08-25
Man United,1801.68688965,2016-08-26,2016-08-27
Man United,1806.6661377,2016-08-28,2016-09-10
Man United,1798.58349609,2016-09-11,2016-09-13
Man United,1799.73937988,2016-09-14,2016-09-14
Man United,1801.80334473,2016-09-15,2016-09-15
Man United,1788.43896484,2016-09-16,2016-09-17
Man United,1788.43896484,2016-09-18,2016-09-18
Man United,1773.27160645,2016-09-19,2016-09-19
Man United,1773.27160645,2016-09-20,2016-09-24
Man United,1786.19555664,2016-09-25,2016-09-27
Man United,1790.66503906,2016-09-28,2016-09-28
Man United,1789.88647461,2016-09-29,2016-09-29
Man United,1791.4239502,2016-09-30,2016-10-01
Man United,1791.4239502,2016-10-02,2016-10-02
Man United,1786.13085938,2016-10-03,2016-10-16
Man United,1786.13085938,2016-10-17,2016-10-17
Man United,1788.93786621,2016-10-18,2016-10-18
Man United,1790.32299805,2016-10-19,2016-10-19
Man United,1789.44165039,2016-10-20,2016-10-20
Man United,1793.49462891,2016-10-21,2016-10-23
Man United,1781.02270508,2016-10-24,2016-10-26
Man United,1781.02270508,2016-10-27,2016-10-29
Man United,1775.89331055,2016-10-30,2016-10-30
Man United,1775.89331055,2016-10-31,2016-11-01
Man United,1781.25244141,2016-11-02,2016-11-02
Man United,1776.89245605,2016-11-03,2016-11-03
Man United,1765.88842773,2016-11-04,2016-11-05
Man United,1765.88842773,2016-11-06,2016-11-06
Man United,1775.05126953,2016-11-07,2016-11-18
Man United,1775.05126953,2016-11-19,2016-11-19
Man United,1776.2947998,2016-11-20,2016-11-22
Man United,1775.08764648,2016-11-23,2016-11-23
Man United,1773.99267578,2016-11-24,2016-11-24
Man United,1778.11987305,2016-11-25,2016-11-27
Man United,1773.39489746,2016-11-28,2016-11-28
Man United,1773.39489746,2016-11-29,2016-12-02
Man United,1773.39489746,2016-12-03,2016-12-04
Man United,1772.91662598,2016-12-05,2016-12-05
Man United,1772.91662598,2016-12-06,2016-12-06
