Club,Elo,From,To
Newcastle,1587.62060547,2015-08-07,2015-08-09
Newcastle,1589.8145752,2015-08-10,2015-08-15
Newcastle,1583.14685059,2015-08-16,2015-08-18
Newcastle,1584.54260254,2015-08-19,2015-08-20
Newcastle,1583.11474609,2015-08-21,2015-08-22
Newcastle,1589.89697266,2015-08-23,2015-08-26
Newcastle,1591.64758301,2015-08-27,2015-08-27
Newcastle,1586.73120117,2015-08-28,2015-08-29
Newcastle,1583.21496582,2015-08-30,2015-09-14
Newcastle,1574.6295166,2015-09-15,2015-09-15
Newcastle,1567.86083984,2015-09-16,2015-09-16
Newcastle,1564.78808594,2015-09-17,2015-09-17
Newcastle,1565.8392334,2015-09-18,2015-09-19
Newcastle,1557.12353516,2015-09-20,2015-09-26
Newcastle,1563.20507812,2015-09-27,2015-09-29
Newcastle,1556.70751953,2015-09-30,2015-09-30
Newcastle,1561.38549805,2015-10-01,2015-10-01
Newcastle,1559.8626709,2015-10-02,2015-10-03
Newcastle,1556.21276855,2015-10-04,2015-10-18
Newcastle,1572.15209961,2015-10-19,2015-10-20
Newcastle,1577.43859863,2015-10-21,2015-10-21
Newcastle,1579.9699707,2015-10-22,2015-10-22
Newcastle,1574.91271973,2015-10-23,2015-10-25
Newcastle,1561.82348633,2015-10-26,2015-10-31
Newcastle,1563.58850098,2015-11-01,2015-11-03
Newcastle,1569.65490723,2015-11-04,2015-11-04
Newcastle,1569.1895752,2015-11-05,2015-11-05
Newcastle,1572.35595703,2015-11-06,2015-11-07
Newcastle,1581.06970215,2015-11-08,2015-11-21
Newcastle,1569.54296875,2015-11-22,2015-11-24
Newcastle,1572.50341797,2015-11-25,2015-11-25
Newcastle,1568.81054688,2015-11-26,2015-11-26
Newcastle,1570.91088867,2015-11-27,2015-11-28
Newcastle,1561.07739258,2015-11-29,2015-12-06
Newcastle,1578.13452148,2015-12-07,2015-12-08
Newcastle,1578.29638672,2015-12-09,2015-12-09
Newcastle,1585.09960938,2015-12-10,2015-12-10
Newcastle,1585.93811035,2015-12-11,2015-12-13
Newcastle,1599.63977051,2015-12-14,2015-12-19
Newcastle,1596.83789062,2015-12-20,2015-12-26
Newcastle,1590.89050293,2015-12-27,2015-12-28
Newcastle,1585.32299805,2015-12-29,2016-01-02
Newcastle,1583.44580078,2016-01-03,2016-01-12
Newcastle,1587.3861084,2016-01-13,2016-01-16
Newcastle,1596.6607666,2016-01-17,2016-01-23
Newcastle,1591.0020752,2016-01-24,2016-02-03
Newcastle,1584.18969727,2016-02-04,2016-02-06
Newcastle,1592.33630371,2016-02-07,2016-02-13
Newcastle,1587.32202148,2016-02-14,2016-02-16
Newcastle,1586.72241211,2016-02-17,2016-02-18
Newcastle,1585.95959473,2016-02-19,2016-02-23
Newcastle,1584.8326416,2016-02-24,2016-02-24
Newcastle,1588.41003418,2016-02-25,2016-02-25
Newcastle,1597.5423584,2016-02-26,2016-03-02
Newcastle,1593.30065918,2016-03-03,2016-03-05
Newcastle,1581.53076172,2016-03-06,2016-03-09
Newcastle,1578.97412109,2016-03-10,2016-03-10
Newcastle,1574.74511719,2016-03-11,2016-03-14
