Club,Elo,From,To
Norwich,1615.20751953,2015-08-07,2015-08-08
Norwich,1602.9453125,2015-08-09,2015-08-15
Norwich,1615.8894043,2015-08-16,2015-08-18
Norwich,1617.28515625,2015-08-19,2015-08-20
Norwich,1615.8572998,2015-08-21,2015-08-22
Norwich,1616.72119141,2015-08-23,2015-08-23
Norwich,1616.72119141,2015-08-24,2015-08-25
Norwich,1616.72119141,2015-08-26,2015-08-26
Norwich,1618.47180176,2015-08-27,2015-08-27
Norwich,1613.55541992,2015-08-28,2015-08-28
Norwich,1613.55541992,2015-08-29,2015-08-29
Norwich,1613.55541992,2015-08-30,2015-08-30
Norwich,1603.77172852,2015-08-31,2015-09-12
Norwich,1613.02954102,2015-09-13,2015-09-13
Norwich,1613.02954102,2015-09-14,2015-09-15
Norwich,1606.26086426,2015-09-16,2015-09-16
Norwich,1603.18811035,2015-09-17,2015-09-17
Norwich,1604.23925781,2015-09-18,2015-09-20
Norwich,1608.63122559,2015-09-21,2015-09-23
Norwich,1608.63122559,2015-09-24,2015-09-25
Norwich,1608.63122559,2015-09-26,2015-09-26
Norwich,1610.59887695,2015-09-27,2015-09-29
Norwich,1604.10131836,2015-09-30,2015-09-30
Norwich,1608.77929688,2015-10-01,2015-10-01
Norwich,1607.25646973,2015-10-02,2015-10-03
Norwich,1598.96264648,2015-10-04,2015-10-18
Norwich,1583.02331543,2015-10-19,2015-10-20
Norwich,1588.30993652,2015-10-21,2015-10-21
Norwich,1590.84118652,2015-10-22,2015-10-22
Norwich,1585.78405762,2015-10-23,2015-10-24
Norwich,1577.5670166,2015-10-25,2015-10-31
Norwich,1575.94628906,2015-11-01,2015-11-03
Norwich,1582.01269531,2015-11-04,2015-11-04
Norwich,1581.54736328,2015-11-05,2015-11-05
Norwich,1584.71362305,2015-11-06,2015-11-07
Norwich,1593.59338379,2015-11-08,2015-11-21
Norwich,1590.82702637,2015-11-22,2015-11-24
Norwich,1593.78759766,2015-11-25,2015-11-25
Norwich,1590.09472656,2015-11-26,2015-11-26
Norwich,1592.19494629,2015-11-27,2015-11-29
Norwich,1597.44226074,2015-11-30,2015-12-05
Norwich,1588.22131348,2015-12-06,2015-12-08
