Club,Elo,From,To
West Ham,1596.59667969,2015-08-07,2015-08-09
West Ham,1618.05358887,2015-08-10,2015-08-11
West Ham,1618.05358887,2015-08-12,2015-08-14
West Ham,1618.05358887,2015-08-15,2015-08-15
West Ham,1609.29089355,2015-08-16,2015-08-18
West Ham,1610.68664551,2015-08-19,2015-08-20
West Ham,1609.25866699,2015-08-21,2015-08-22
West Ham,1599.31604004,2015-08-23,2015-08-23
West Ham,1599.31604004,2015-08-24,2015-08-26
West Ham,1601.06665039,2015-08-27,2015-08-27
West Ham,1596.15026855,2015-08-28,2015-08-29
West Ham,1619.18859863,2015-08-30,2015-08-30
West Ham,1619.18859863,2015-08-31,2015-09-12
West Ham,1619.18859863,2015-09-13,2015-09-13
West Ham,1619.18859863,2015-09-14,2015-09-14
West Ham,1627.77392578,2015-09-15,2015-09-15
West Ham,1621.00512695,2015-09-16,2015-09-16
West Ham,1617.93249512,2015-09-17,2015-09-17
West Ham,1618.98364258,2015-09-18,2015-09-19
West Ham,1634.08728027,2015-09-20,2015-09-26
West Ham,1632.11962891,2015-09-27,2015-09-28
West Ham,1632.11962891,2015-09-29,2015-09-29
West Ham,1625.62207031,2015-09-30,2015-09-30
West Ham,1630.30004883,2015-10-01,2015-10-01
West Ham,1628.77722168,2015-10-02,2015-10-03
West Ham,1627.71887207,2015-10-04,2015-10-04
West Ham,1627.71887207,2015-10-05,2015-10-17
West Ham,1642.18884277,2015-10-18,2015-10-20
West Ham,1647.4753418,2015-10-21,2015-10-21
West Ham,1650.00671387,2015-10-22,2015-10-22
West Ham,1644.94946289,2015-10-23,2015-10-23
West Ham,1644.94946289,2015-10-24,2015-10-24
West Ham,1656.36242676,2015-10-25,2015-10-25
West Ham,1656.36242676,2015-10-26,2015-10-29
West Ham,1656.36242676,2015-10-30,2015-10-31
West Ham,1643.97070312,2015-11-01,2015-11-01
West Ham,1643.97070312,2015-11-02,2015-11-02
West Ham,1643.97070312,2015-11-03,2015-11-03
West Ham,1650.0369873,2015-11-04,2015-11-04
West Ham,1649.57165527,2015-11-05,2015-11-05
West Ham,1652.73803711,2015-11-06,2015-11-07
West Ham,1653.44958496,2015-11-08,2015-11-08
West Ham,1653.44958496,2015-11-09,2015-11-21
West Ham,1653.44958496,2015-11-22,2015-11-22
West Ham,1645.66223145,2015-11-23,2015-11-24
West Ham,1648.62268066,2015-11-25,2015-11-25
West Ham,1644.92980957,2015-11-26,2015-11-26
West Ham,1647.0300293,2015-11-27,2015-11-27
West Ham,1647.0300293,2015-11-28,2015-11-29
West Ham,1645.58312988,2015-11-30,2015-12-05
West Ham,1651.27893066,2015-12-06,2015-12-08
West Ham,1651.44091797,2015-12-09,2015-12-09
West Ham,1658.24401855,2015-12-10,2015-12-10
West Ham,1659.0826416,2015-12-11,2015-12-12
West Ham,1659.14709473,2015-12-13,2015-12-20
West Ham,1659.66088867,2015-12-21,2015-12-26
West Ham,1657.70483398,2015-12-27,2015-12-28
West Ham,1665.80334473,2015-12-29,2015-12-30
West Ham,1665.80334473,2015-12-31,2016-01-02
West Ham,1678.14758301,2016-01-03,2016-01-12
West Ham,1689.13342285,2016-01-13,2016-01-16
West Ham,1679.85888672,2016-01-17,2016-01-23
West Ham,1683.46484375,2016-01-24,2016-01-31
West Ham,1683.46484375,2016-02-01,2016-02-02
West Ham,1688.90930176,2016-02-03,2016-02-06
West Ham,1683.0213623,2016-02-07,2016-02-08
West Ham,1683.0213623,2016-02-09,2016-02-13
West Ham,1681.57019043,2016-02-14,2016-02-16
West Ham,1680.97070312,2016-02-17,2016-02-18
West Ham,1680.20788574,2016-02-19,2016-02-20
West Ham,1680.20788574,2016-02-21,2016-02-23
West Ham,1679.08093262,2016-02-24,2016-02-24
West Ham,1682.65820312,2016-02-25,2016-02-25
West Ham,1691.79064941,2016-02-26,2016-02-27
West Ham,1696.73535156,2016-02-28,2016-03-02
West Ham,1707.18713379,2016-03-03,2016-03-05
West Ham,1717.60693359,2016-03-06,2016-03-06
West Ham,1717.60693359,2016-03-07,2016-03-08
West Ham,1717.60693359,2016-03-09,2016-03-09
West Ham,1715.0501709,2016-03-10,2016-03-10
West Ham,1710.82128906,2016-03-11,2016-03-15
West Ham,1710.90270996,2016-03-16,2016-03-16
West Ham,1710.76196289,2016-03-17,2016-03-17
West Ham,1709.4050293,2016-03-18,2016-03-19
West Ham,1713.625,2016-03-20,2016-03-20
West Ham,1713.625,2016-03-21,2016-04-02
West Ham,1709.72216797,2016-04-03,2016-04-03
West Ham,1709.72216797,2016-04-04,2016-04-06
West Ham,1711.33764648,2016-04-07,2016-04-07
West Ham,1712.67700195,2016-04-08,2016-04-09
West Ham,1714.74938965,2016-04-10,2016-04-12
West Ham,1717.32714844,2016-04-13,2016-04-14
West Ham,1720.95837402,2016-04-15,2016-04-17
West Ham,1724.49389648,2016-04-18,2016-04-20
West Ham,1731.51074219,2016-04-21,2016-04-23
West Ham,1731.51074219,2016-04-24,2016-04-26
West Ham,1731.84423828,2016-04-27,2016-04-28
West Ham,1730.46130371,2016-04-29,2016-04-30
West Ham,1743.25610352,2016-05-01,2016-05-04
West Ham,1741.9543457,2016-05-05,2016-05-05
West Ham,1749.34765625,2016-05-06,2016-05-07
West Ham,1729.54748535,2016-05-08,2016-05-10
West Ham,1738.25805664,2016-05-11,2016-05-15
West Ham,1730.07727051,2016-05-16,2016-05-18
West Ham,1726.40673828,2016-05-19,2016-07-28
West Ham,1721.77453613,2016-07-29,2016-08-04
West Ham,1727.61560059,2016-08-05,2016-08-07
West Ham,1727.61560059,2016-08-08,2016-08-15
West Ham,1722.6541748,2016-08-16,2016-08-16
West Ham,1723.94067383,2016-08-17,2016-08-17
West Ham,1723.94067383,2016-08-18,2016-08-18
West Ham,1723.92541504,2016-08-19,2016-08-21
West Ham,1728.02966309,2016-08-22,2016-08-23
West Ham,1728.02966309,2016-08-24,2016-08-24
West Ham,1728.04528809,2016-08-25,2016-08-25
West Ham,1699.3236084,2016-08-26,2016-08-27
West Ham,1699.3236084,2016-08-28,2016-08-28
West Ham,1694.93078613,2016-08-29,2016-09-10
West Ham,1678.64453125,2016-09-11,2016-09-11
West Ham,1678.64453125,2016-09-12,2016-09-13
West Ham,1679.80053711,2016-09-14,2016-09-14
West Ham,1681.86450195,2016-09-15,2016-09-15
West Ham,1680.1965332,2016-09-16,2016-09-16
West Ham,1680.1965332,2016-09-17,2016-09-17
