Club,Elo,From,To
Wolves,1507.15161133,2015-08-07,2015-08-08
Wolves,1516.3371582,2015-08-09,2015-08-16
Wolves,1516.5480957,2015-08-17,2015-08-18
Wolves,1517.94384766,2015-08-19,2015-08-19
Wolves,1508.90905762,2015-08-20,2015-08-20
Wolves,1507.48120117,2015-08-21,2015-08-22
Wolves,1496.2409668,2015-08-23,2015-08-26
Wolves,1497.99157715,2015-08-27,2015-08-27
Wolves,1493.07519531,2015-08-28,2015-08-29
Wolves,1499.18920898,2015-08-30,2015-09-12
Wolves,1489.9876709,2015-09-13,2015-09-15
Wolves,1483.21899414,2015-09-16,2015-09-16
Wolves,1480.14624023,2015-09-17,2015-09-17
Wolves,1481.19750977,2015-09-18,2015-09-19
Wolves,1479.5760498,2015-09-20,2015-09-26
Wolves,1476.94787598,2015-09-27,2015-09-29
Wolves,1484.14221191,2015-09-30,2015-09-30
Wolves,1488.82019043,2015-10-01,2015-10-01
Wolves,1487.29736328,2015-10-02,2015-10-03
Wolves,1495.9519043,2015-10-04,2015-10-18
Wolves,1486.99353027,2015-10-19,2015-10-20
Wolves,1492.2800293,2015-10-21,2015-10-21
Wolves,1479.7109375,2015-10-22,2015-10-22
Wolves,1474.65380859,2015-10-23,2015-10-24
Wolves,1463.90527344,2015-10-25,2015-10-31
Wolves,1476.81359863,2015-11-01,2015-11-03
Wolves,1472.12243652,2015-11-04,2015-11-04
Wolves,1471.65710449,2015-11-05,2015-11-05
Wolves,1474.82336426,2015-11-06,2015-11-07
Wolves,1476.50476074,2015-11-08,2015-11-21
Wolves,1478.16357422,2015-11-22,2015-11-24
Wolves,1481.12414551,2015-11-25,2015-11-25
Wolves,1477.43127441,2015-11-26,2015-11-26
Wolves,1479.53149414,2015-11-27,2015-11-28
Wolves,1474.98864746,2015-11-29,2015-12-05
Wolves,1481.27404785,2015-12-06,2015-12-08
Wolves,1481.43591309,2015-12-09,2015-12-09
Wolves,1488.23901367,2015-12-10,2015-12-10
Wolves,1489.07763672,2015-12-11,2015-12-11
Wolves,1486.69433594,2015-12-12,2015-12-17
Wolves,1475.88720703,2015-12-18,2015-12-20
Wolves,1463.39990234,2015-12-21,2015-12-26
Wolves,1469.65625,2015-12-27,2015-12-28
Wolves,1479.77331543,2015-12-29,2016-01-01
Wolves,1489.63354492,2016-01-02,2016-01-12
Wolves,1494.44055176,2016-01-13,2016-01-16
Wolves,1480.25927734,2016-01-17,2016-01-23
Wolves,1482.36608887,2016-01-24,2016-02-02
Wolves,1477.76623535,2016-02-03,2016-02-06
Wolves,1477.6973877,2016-02-07,2016-02-13
Wolves,1466.83166504,2016-02-14,2016-02-16
Wolves,1466.23217773,2016-02-17,2016-02-18
Wolves,1465.46936035,2016-02-19,2016-02-20
Wolves,1457.81872559,2016-02-21,2016-02-23
Wolves,1444.61901855,2016-02-24,2016-02-24
Wolves,1448.19641113,2016-02-25,2016-02-25
Wolves,1457.32873535,2016-02-26,2016-02-27
Wolves,1466.42895508,2016-02-28,2016-03-04
Wolves,1462.53076172,2016-03-05,2016-03-08
Wolves,1467.31970215,2016-03-09,2016-03-09
Wolves,1464.76293945,2016-03-10,2016-03-10
Wolves,1460.53393555,2016-03-11,2016-03-13
Wolves,1459.74194336,2016-03-14,2016-03-15
Wolves,1459.82336426,2016-03-16,2016-03-16
Wolves,1459.68261719,2016-03-17,2016-03-17
Wolves,1458.32568359,2016-03-18,2016-03-19
Wolves,1463.82250977,2016-03-20,2016-04-02
Wolves,1463.18737793,2016-04-03,2016-04-05
Wolves,1470.29089355,2016-04-06,2016-04-06
Wolves,1471.90625,2016-04-07,2016-04-07
Wolves,1473.24572754,2016-04-08,2016-04-09
Wolves,1471.54077148,2016-04-10,2016-04-12
Wolves,1474.11853027,2016-04-13,2016-04-14
Wolves,1477.74975586,2016-04-15,2016-04-15
Wolves,1472.96374512,2016-04-16,2016-04-19
Wolves,1465.73083496,2016-04-20,2016-04-23
Wolves,1463.35217285,2016-04-24,2016-04-26
Wolves,1463.68579102,2016-04-27,2016-04-28
Wolves,1462.30273438,2016-04-29,2016-04-30
Wolves,1462.79968262,2016-05-01,2016-05-04
Wolves,1461.4979248,2016-05-05,2016-05-05
Wolves,1468.89111328,2016-05-06,2016-05-07
Wolves,1477.67224121,2016-05-08,2016-05-18
Wolves,1474.00170898,2016-05-19,2016-07-28
Wolves,1472.85913086,2016-07-29,2016-08-04
Wolves,1474.30078125,2016-08-05,2016-08-06
Wolves,1474.29321289,2016-08-07,2016-08-13
Wolves,1481.62597656,2016-08-14,2016-08-16
Wolves,1481.80810547,2016-08-17,2016-08-18
Wolves,1481.80432129,2016-08-19,2016-08-20
Wolves,1495.33703613,2016-08-21,2016-08-24
Wolves,1495.35266113,2016-08-25,2016-08-25
Wolves,1488.26574707,2016-08-26,2016-08-27
Wolves,1480.84753418,2016-08-28,2016-09-10
Wolves,1476.375,2016-09-11,2016-09-13
Wolves,1454.68432617,2016-09-14,2016-09-14
Wolves,1456.74829102,2016-09-15,2016-09-15
Wolves,1455.08044434,2016-09-16,2016-09-17
Wolves,1474.49316406,2016-09-18,2016-09-24
Wolves,1485.56018066,2016-09-25,2016-09-27
Wolves,1479.75170898,2016-09-28,2016-09-28
Wolves,1478.97314453,2016-09-29,2016-09-29
Wolves,1478.4005127,2016-09-30,2016-10-01
Wolves,1471.66003418,2016-10-02,2016-10-15
Wolves,1473.63183594,2016-10-16,2016-10-18
Wolves,1470.47094727,2016-10-19,2016-10-19
Wolves,1469.58959961,2016-10-20,2016-10-20
Wolves,1468.28710938,2016-10-21,2016-10-22
Wolves,1458.31286621,2016-10-23,2016-10-29
Wolves,1459.15673828,2016-10-30,2016-11-01
Wolves,1464.51574707,2016-11-02,2016-11-02
Wolves,1460.15588379,2016-11-03,2016-11-03
Wolves,1458.33435059,2016-11-04,2016-11-05
